,Cumberland,Oak Park-Lake,Austin-Lake,Ashland-Lake,Clinton-Lake,Grand/Milwaukee,Chicago/Milwaukee,Damen/Milwaukee,California/Milwaukee,Belmont-O'Hare,Montrose-O'Hare,Chicago/Franklin,Western-Ravenswood,Francisco,Addison-Ravenswood,Paulina,Damen-Ravenswood,Montrose-Ravenswood,LaSalle/Van Buren,State/Lake,Lake/State,Harrison,Jefferson Park,87th,79th,47th-Dan Ryan,Sox-35th-Dan Ryan,Cermak-Chinatown,Cottage Grove,King Drive,Halsted/63rd,Ashland/63rd,47th-South Elevated,Roosevelt/Wabash,O'Hare Airport,Lawrence,Belmont-North Main,North/Clybourn,Loyola,Noyes,Howard,Berwyn,Kedzie-Lake,Morse,Diversey,35-Bronzeville-IIT,Main,Granville,Thorndale,Wellington,Fullerton,Dempster-Skokie,Davis,Dempster,Washington/Dearborn,43rd,Indiana,Irving Park-O'Hare,Cicero-Lake,Monroe/Dearborn,Quincy/Wells,Argyle,Kimball,Kedzie-Ravenswood,Irving Park-Ravenswood,Racine,Illinois Medical District,Western-Congress,Austin-Congress,Cicero-Congress,Library,Logan Square,69th,51st,Midway Airport,Kedzie-Midway,Ashland-Midway,Halsted-Midway,18th,Damen,Western-Douglas,Central Park,Pulaski-Douglas,Kostner,Cicero-Douglas,Morgan,Oakton-Skokie,Cermak-McCormick Place,Washington/Wabash,Chicago/State,Grand/State,Sedgwick,Rockwell,Pulaski-Congress,Oak Park-Congress,Harlem-Congress,Pulaski-Midway,Kedzie-Homan,Forest Park,Monroe/State,Harlem-O'Hare,Ridgeland,Laramie,California-Lake,Western/Milwaukee,Addison-O'Hare,Garfield-South Elevated,Western-Midway,35th/Archer,Polk,California-Douglas,Kedzie-Douglas,54th/Cermak,UIC-Halsted,Clinton-Congress,LaSalle,Wilson,Armitage,Central-Lake,Pulaski-Lake,Central-Evanston,Foster,Conservatory-Central Park,Sheridan,Addison-North Main,Clark/Lake,Jackson/Dearborn,Clark/Division,Linden,South Boulevard,Jarvis,Bryn Mawr,Merchandise Mart,Washington/Wells,Southport,Adams/Wabash,Jackson/State,Rosemont,Harlem-Lake,Division/Milwaukee,95th/Dan Ryan,63rd-Dan Ryan,Garfield-Dan Ryan
Cumberland,1.0,0.18248815937205576,0.1670602102060571,0.0689034875045826,0.05373805305345118,0.05999290536770558,0.06786443295241017,0.0966226148879369,0.13179080640813876,0.1771987597057992,0.293519197266193,0.05572716061491713,0.1539751768489954,0.18067166456733053,0.12129528482844962,0.11400645812861628,0.13656101330246354,0.12923828241968735,0.044649577688933184,0.04652670302866929,0.046134212319115936,0.0416368119422251,0.3756034728715827,0.007497315272783242,0.00925729716111527,0.021215857359635753,0.027174477037313103,0.034879127734211736,0.01188097969961506,0.012798500344687895,0.01560913242356965,0.01787282259020873,0.018901645704660134,0.038696487051239126,0.45231520638365236,0.10734062998795571,0.09094695341348714,0.07186833829929092,0.1104799502920863,0.1034715222553492,0.12019707386511216,0.10885444858830085,0.09799720693532353,0.11505249535672665,0.08727152660904601,0.026201991140676218,0.12013227838539609,0.1092782204036296,0.10945487950397674,0.08905419573215788,0.08297496550976127,0.24760021905779517,0.11339691995021658,0.1162644265464299,0.046235649156187074,0.020655816040416667,0.022471533969490684,0.23660296235644632,0.13703393488295296,0.04518182563873473,0.04638064957105725,0.10814073377914474,0.20883660999264972,0.19712720647081738,0.12569583076610244,0.058148582673261395,0.06647811760391176,0.07570947363935275,0.13209988335789252,0.11189302372330111,0.043099368557226084,0.15925143177011652,0.011856252146945655,0.017281316497186384,0.030240076286185632,0.03314189790332083,0.040276819700666815,0.03805334686792114,0.052049663223049575,0.05299667705921516,0.05712065745584256,0.0713505288763934,0.07604362643717405,0.08050966959462694,0.08435519275939894,0.0596328438005866,0.26746232170576534,0.03337066865015421,0.04472202649789992,0.05122234971489506,0.04906384205804218,0.06434606954149394,0.16485001738464053,0.10068258473894112,0.14316881436270387,0.15351221479165983,0.03472568028723056,0.08683262840397764,0.15891151539393067,0.04442241422822783,0.6967902291527751,0.17504913250609275,0.14844675593043358,0.0896712644658269,0.11340795651687226,0.20364493197837305,0.015836432282422187,0.029285390304122985,0.04006482095959128,0.06102860224487306,0.06161647603146994,0.06671047568650419,0.0895301747130354,0.052675121462805355,0.04837570695788174,0.044100110497827305,0.10522723327154646,0.07898454625860686,0.15934132898894687,0.1166324028912056,0.10049664257978967,0.10752322850996614,0.1077849321274468,0.09850736142901015,0.09456854733073806,0.04803181021830758,0.04410249315589167,0.05617768084335796,0.09647221861694433,0.12269825539599966,0.11643319938929253,0.10936080735533422,0.051046543909811205,0.04818500733464202,0.10470341292427708,0.04320577275630244,0.0433303137127091,0.7678534327385662,0.1883214840048757,0.08145071695739292,0.006232411897610956,0.014480341887193831,0.01759785827277466
Oak Park-Lake,0.18248815937205576,1.0,0.7842025309030497,0.2082322051244506,0.15252487052445513,0.16369697969807093,0.1789807459310626,0.2259660111876745,0.26432895992932276,0.2683622550679016,0.2514836241497669,0.14101397823828568,0.15754368679996936,0.17620620080886729,0.16931544461437784,0.16759519275866314,0.1440351638764645,0.1467784893695725,0.13377355002058106,0.12837606261829385,0.12831221165789167,0.1263860024352652,0.23619325344738656,0.038079225979226805,0.046084579807221006,0.09248735302965631,0.10859401188522506,0.12361000780242502,0.05389466950001066,0.05913243269363652,0.07614959802009875,0.09023491334569163,0.08051985992943113,0.12323858527775583,0.13207900196921427,0.11584600590280973,0.14322885173484423,0.16029149521175984,0.08197261908316449,0.04299399173416751,0.07079914560096767,0.10550057462130032,0.33796099408841657,0.07760359005269683,0.150040093281637,0.10326019379544715,0.060475460984554155,0.08840126771474732,0.09197157883438592,0.14693557863826107,0.15677278724472746,0.07667620537702845,0.050345730372764026,0.05440277251617841,0.1308292954641709,0.0856353070084387,0.09163758196332379,0.25853369034573404,0.54487218828108,0.13050469897367725,0.1374523110471169,0.11070812127853687,0.18824638333192806,0.1866628653852691,0.15785944417237996,0.18790411312172708,0.2244040475747011,0.26795257613996065,0.7121302834305376,0.5204653200801487,0.12809449600327683,0.28098008590140594,0.05726129997414464,0.07540225305970322,0.1653801524310621,0.17205419758297422,0.1695697067811712,0.14653911715814766,0.19884034093407568,0.21149571906355252,0.23504930528826382,0.3267242103876663,0.36079559819668844,0.39487639030677346,0.4341674276046504,0.17336445355646254,0.09293059711587441,0.1170097609613383,0.12567816100086177,0.12814977394678131,0.12850946055345255,0.14235606725222774,0.16539513568605263,0.41870074555276515,0.7805308459022864,0.7583749857207932,0.18677171392109435,0.33090414394128537,0.698095674764266,0.12782656955521446,0.2040957239836648,0.8822854086047368,0.6188433658254097,0.2989382925527776,0.24614795066126152,0.2564961175067577,0.07059583815634735,0.14607656809711222,0.18398733976407539,0.21055267941323022,0.26217105455496265,0.2949322740181556,0.4762133868081774,0.16643120980572962,0.14961805082783328,0.133499043255464,0.12088390838781558,0.16197422270899153,0.7060549646807897,0.4290305800617895,0.03994596419872853,0.045769131461472684,0.38431088350409004,0.1297898297482567,0.13520958368645591,0.13331279128935747,0.13003446652200498,0.13164804162169091,0.03564211312908578,0.06520909823367313,0.07195213531437605,0.09929594595558372,0.1384862246943027,0.13812900779420423,0.1550242749727112,0.1251844743825777,0.12733146025821837,0.16666900586385192,0.890292803044165,0.20242097162163436,0.03210563042088379,0.0687723165327194,0.08047963870214399
Austin-Lake,0.1670602102060571,0.7842025309030497,1.0,0.2654790183690144,0.19447015471558465,0.208733331602421,0.22808596744277074,0.28584677532670366,0.32819067121384143,0.3209388084893332,0.2767042852025197,0.17971995001939478,0.18601733086267205,0.20531278995589156,0.20652119150445702,0.20562372149131414,0.17149235114091144,0.17610350035656164,0.17033367788510026,0.16368238891339337,0.1635895521265237,0.1608260952049489,0.249257225182971,0.04407322630475745,0.05384701922169328,0.11284759196929338,0.13480491759561283,0.15582165632287137,0.06494563493762294,0.07093765970538564,0.08985050906399487,0.10498244052356971,0.09863039671327001,0.15649063198044286,0.11206155709829643,0.13952291000192255,0.17778243836286384,0.2033128582336069,0.0958237107306714,0.04761474302537319,0.08089984833298264,0.1260081191600208,0.4307096609117443,0.08987043785918748,0.1873777567043242,0.12839951722865042,0.06808395473872415,0.1041070337755913,0.10863343599346506,0.18298261332749732,0.19698703539958803,0.08002278922600312,0.05604073900643965,0.060852405493612496,0.16677097819957934,0.10547629318850614,0.11324367046432446,0.29505718851249585,0.6946537046294035,0.16630124834562057,0.17508470815203583,0.1327931774591079,0.21588311273450617,0.2156882146153929,0.19092409430223825,0.23903542931230984,0.28527082498590245,0.3403130297784664,0.7606722201847305,0.6424417381760559,0.1631134068701835,0.3419876269041113,0.06773638050426924,0.09186403780460545,0.17804952158085643,0.19744667842791155,0.20951012249957213,0.18334445285066864,0.24985749923367437,0.2644284892529387,0.2928934988260654,0.3996160419510858,0.43678359802892863,0.4718939854199333,0.5039237952796142,0.22103621618654962,0.09787613239364651,0.147579889510997,0.16020723919831342,0.16333797643866632,0.163865628341379,0.18071619789524587,0.19424456225501538,0.5273933493740937,0.7178673859363796,0.6275432963343119,0.2076054434812644,0.41910777131662336,0.5620685096907395,0.16289139350334897,0.1957902759207459,0.888830492997859,0.7890956502311184,0.3810034288107312,0.30893497883956295,0.2997362855746313,0.08555434055206546,0.17130740846457387,0.22287566065872663,0.2671816463784022,0.32523888025455294,0.3635211265761118,0.5345529207387114,0.21175645711383448,0.19040859774443267,0.1699304960864422,0.14633492402917067,0.20449665542232645,0.9003467447327018,0.5468459459005569,0.04404261526139519,0.050779857036794385,0.48981095435925937,0.1589307630723068,0.16665080475076266,0.16997644537260723,0.1656263906848211,0.16754915388617306,0.03898661959487864,0.07375421629939136,0.08265684325943622,0.11799596300146072,0.17659469173669276,0.17606331328831804,0.1908799230478069,0.15949403920059993,0.16218583284510166,0.14812127236235864,0.698169904127693,0.25729161445798904,0.03687954459118851,0.08187652018357382,0.09697028433506079
Ashland-Lake,0.0689034875045826,0.2082322051244506,0.2654790183690144,1.0,0.7323271754931047,0.7721157792922515,0.7946725242554149,0.6539549689801615,0.49144411927633624,0.3537748831706313,0.20650583743820244,0.6519085114449786,0.25511662229853727,0.2453207539457789,0.3583851642369393,0.3798815291080912,0.25918491884789807,0.2809980676343489,0.632810888254832,0.6163777591715914,0.6161974816346408,0.5929008473971192,0.1606585302195091,0.07915345972214219,0.10105376885547132,0.26759424082245015,0.367049338319526,0.49993070663790884,0.15023897842307787,0.15665225874010813,0.16829082260627012,0.171878731058297,0.24821816194022486,0.5595241958710757,0.037224731712128534,0.24868827990892112,0.3998620927817834,0.6227507459133899,0.14695495076708806,0.05667554683385448,0.10912501003046454,0.21492846391894135,0.6155585820425388,0.1304274772523625,0.4478299577841196,0.3595244324837456,0.08567289892075762,0.1659356475835469,0.17552670349379,0.4246540672088712,0.5063677992721339,0.06383852616707357,0.06747093932111832,0.07469537930417659,0.6279090497469777,0.27673391798140057,0.3035163841897956,0.25708773175373956,0.3821632889694929,0.6243785307980583,0.6537344220490179,0.2315989818021509,0.22718294846347198,0.23835900599566084,0.3166532518487282,0.8340198791169183,0.833561490352692,0.7325637928549082,0.2516820999776318,0.3701291380443502,0.6071205303718719,0.4076879472488394,0.13511113864097576,0.22259309044950987,0.15642127238570688,0.24225563347266146,0.46720966653753276,0.5080854770701176,0.634803477475621,0.5934154297650579,0.5716505761490419,0.45489888146232854,0.41463064705935454,0.3780700245437511,0.3274815545184463,0.8324302722618587,0.0792617425925266,0.48097677360946733,0.6032610939835776,0.59742322903735,0.6108695539036563,0.5838748176009344,0.2514307523974894,0.4723362953666666,0.21066924361371156,0.1749844322530715,0.2053507734259671,0.5973056849535526,0.15425761002313523,0.6117527109763452,0.09269378787512089,0.23598922592329494,0.33642336571940396,0.695811527774478,0.5657522873979348,0.2973917842920672,0.2001195341230812,0.258891973655032,0.3913475303857695,0.7946705059019634,0.5386477887528323,0.4955110832844427,0.28897665235608927,0.7644629256781541,0.6979173775955069,0.6283310680694023,0.2693564202004984,0.564001009132923,0.2948370882310156,0.48527415213575503,0.05147472499442676,0.060655235447886306,0.5416015566893718,0.3188613002200423,0.35297919388419846,0.640080419833674,0.6184615799383232,0.5846583896858074,0.04401316753861875,0.09444409321498397,0.11515814996589666,0.19622269974383294,0.662077345181664,0.6625274643922814,0.379363381788869,0.5978594236812521,0.6058981298640295,0.05608226884105959,0.1854011569697308,0.7417567986480347,0.06405422230264605,0.1668656595411462,0.21171333120021865
Clinton-Lake,0.05373805305345118,0.15252487052445513,0.19447015471558465,0.7323271754931047,1.0,0.8906703089350012,0.7874138072357271,0.5520791937046582,0.40335398002116535,0.2920514664508325,0.16909078602167454,0.8212664383763862,0.23384948440439418,0.21793844866263967,0.334910345918769,0.3586412686109493,0.24376383446673006,0.26585348510449347,0.825296310745618,0.8416563451711453,0.8408961223387116,0.769666026999294,0.13056658627637302,0.082303382777453,0.10551856034662464,0.2851922321680196,0.40139312436392366,0.574477740675306,0.1652405019113486,0.16906718573557744,0.17101250651602248,0.16728806756507578,0.27316722429203444,0.7001936613036973,0.02828075076368705,0.24745840818804926,0.40409759300613257,0.6550430170799633,0.14593765425523644,0.05488317482194669,0.10637382716951169,0.21400445227802578,0.4507970482750271,0.12845216437325696,0.45337486317356296,0.40025764784552204,0.08291718587147334,0.16529120076998666,0.17483504072934347,0.4294941439329469,0.5139516752542876,0.05620590448825286,0.06515668019295533,0.07222248619625808,0.8536635006345795,0.3072271025682117,0.33722731540343776,0.2119772964662447,0.27992726336117696,0.8401099770808669,0.8586599493028637,0.2305597142663696,0.1974994733802785,0.20848686613115733,0.29795538763932505,0.7614574100358618,0.6495355768698915,0.5480923012577892,0.18485739852195734,0.27245866607323055,0.8008117679648179,0.3324564506255689,0.1419503929995599,0.24324705100893412,0.13174975885323498,0.21153686503806632,0.44015346897097973,0.5235645392418239,0.5647218971799366,0.5129691114723246,0.47410809140627375,0.3514015553013916,0.3168144209763184,0.2866560825720336,0.24705705156726043,0.879744127724761,0.06949919718556408,0.5644118655338473,0.8211199706616532,0.7807843485231999,0.8214937606249256,0.6635859108351813,0.22731693905198366,0.34798323760307864,0.1545628939453423,0.12828520181070432,0.1736420987145491,0.4422306110444544,0.11305462144326646,0.8249066980448662,0.07335111988266663,0.17286197206477943,0.24644549454514553,0.5095968746988776,0.46938653981048306,0.24697607338615665,0.2173304816205576,0.23700564680161626,0.35129007771540866,0.6598649045180948,0.4327906684498441,0.388592255321917,0.21679514425442564,0.8230637745126294,0.8449008775831778,0.8115455149258578,0.2684316308273276,0.5742225485348681,0.21598345049326428,0.35540103686849317,0.04976307677490247,0.05866475009620109,0.39663386810433493,0.3203035598633156,0.3562224751568829,0.8740249632658671,0.8201392794123445,0.72062613114441,0.04237035988180585,0.0914376459746111,0.11291940004252808,0.19541812235440953,0.8953328031479955,0.8959468837211382,0.36822299108611173,0.8030678319345291,0.8062708255920674,0.04330714805344679,0.1357985697154818,0.6551137544386632,0.06639904032662539,0.17447740559215646,0.22307645524969286
Grand/Milwaukee,0.05999290536770558,0.16369697969807093,0.208733331602421,0.7721157792922515,0.8906703089350012,1.0,0.8830796591653829,0.618604974658835,0.4519009971534695,0.3276064397302947,0.1896848072360683,0.842819357120412,0.26144333158246524,0.2442887587770019,0.3740316646875966,0.40016463844334005,0.2717146472839073,0.2961751297407203,0.7350977515796313,0.7708000754626838,0.7662004362555657,0.6856626368679186,0.14642105359711852,0.07466938910580677,0.09568250556585337,0.2582261648206277,0.3623850493770402,0.5160883786176086,0.14857256974336588,0.1524916277598347,0.15612019410712008,0.15432057519142178,0.24588185014389907,0.6239960820255785,0.031372323181123964,0.2732531636831631,0.44617514518489426,0.7241051017532878,0.16096601973858352,0.06074858282848319,0.11768677009161833,0.23615609218640302,0.48026680662347193,0.14187920987388736,0.5010366149929948,0.36022582116973617,0.0918256052290315,0.1822505876520482,0.19280333104168615,0.4744373324047346,0.5687431464498865,0.06298578637914097,0.07216718670224631,0.07998375864596251,0.7704876997628912,0.27626628696845623,0.30332144230022584,0.23784598246350014,0.3000644690294933,0.7525603939651226,0.7648253198104397,0.2545006418082331,0.22161923939686612,0.23389421937223995,0.33231912168953215,0.7461375473437878,0.6599846284339064,0.566663153016312,0.1952835257620112,0.28649654799814744,0.7142079039288013,0.3725032966615109,0.12862632255712797,0.219125989631049,0.12731346042735087,0.2019233320976073,0.41245978025633834,0.4804015283500837,0.5421531126049707,0.49589039734805085,0.46469530040756135,0.35501501370655364,0.3220910774255738,0.29288881832592334,0.2533137319469748,0.8970719109843344,0.07791081041768161,0.5053363704844119,0.7440593334010988,0.773719664564118,0.7850427583259739,0.7159052908845663,0.25446679014995244,0.36530324983657303,0.16375063381457305,0.13625163230629894,0.16764942466082247,0.46122214244515075,0.12023193713692383,0.7403594183015445,0.08206544834000949,0.18553403970862783,0.26442679287337056,0.5418369692554695,0.525945607295351,0.27717158101094513,0.195924786141409,0.2228054811597436,0.33324058022898345,0.6547349733025204,0.4293251359826958,0.3896001062358895,0.2232660887622162,0.7705182660559183,0.7621584084831332,0.7228461048097192,0.2964251394831534,0.6365116293033165,0.23182731119109592,0.3800832656749181,0.0550936287558078,0.06495257421738584,0.4235418303897066,0.35346367757955505,0.39300589835473354,0.7982524528345377,0.7317995206390564,0.7479000817884068,0.046938763826880274,0.10126716202271348,0.12480092210763538,0.2155756794251553,0.8417727123498939,0.8021717992655689,0.40928436482024344,0.7199368069849669,0.7202770001777791,0.0482533137308081,0.1457412732553436,0.7344045839169264,0.060263055444862816,0.15832104929819266,0.20224883255773518
Chicago/Milwaukee,0.06786443295241017,0.1789807459310626,0.22808596744277074,0.7946725242554149,0.7874138072357271,0.8830796591653829,1.0,0.7004967902010614,0.5117272340072274,0.37088073559409995,0.21473306106937806,0.7877524514275033,0.29160710038155047,0.27411761035623405,0.4159064072424396,0.4439932976605709,0.30127239519019655,0.3279861626336664,0.6500005790296002,0.6842741950508923,0.6792044899815735,0.6060748807741779,0.16578364674239576,0.06810311734097124,0.08719032638387011,0.2344678032362001,0.32749987797483937,0.4628193943770859,0.13381180352956046,0.1379222047421737,0.14335481703766423,0.1434652669690912,0.22162411697599255,0.5531520963812909,0.03535556453394113,0.29816034858618523,0.48513554768393014,0.7767647104592951,0.17559573314372412,0.06670571379363163,0.12905061425007983,0.2575522074463025,0.5171451286800341,0.1551423715519097,0.544805518681001,0.3243055825589311,0.10087400793548029,0.19865709818926408,0.2101795796070153,0.5158897227611444,0.6184576002206552,0.07067316217306102,0.07931300783744585,0.08787983214529656,0.6812665982819334,0.2486280288531909,0.27300963229004577,0.2692069582406025,0.3269234813886335,0.664647130378818,0.6762304433780663,0.2776154901784709,0.24949934226424522,0.2631045028006303,0.368686453315466,0.712985407355722,0.6636005209965072,0.5866053290404386,0.21001673889185915,0.30599527683956435,0.6308441048991162,0.42182206738992534,0.11706200845964718,0.19775824959022537,0.12476039317352863,0.1948585849157577,0.38784171274048834,0.4410120165480217,0.5194807600654804,0.4798257174404036,0.4569414887886068,0.36241510726151527,0.3314438905979585,0.30331240042867746,0.26363058250965643,0.83700461615131,0.0874922431634249,0.4513744734401256,0.658800375127999,0.7156708746596149,0.7088211944454125,0.7347328598204342,0.2846253164501128,0.3885930505997281,0.176731163712931,0.14749784390881324,0.16395721030061156,0.48529424820831607,0.13036201635127112,0.6540590819663772,0.09290941324388917,0.20280149211217904,0.28857162299385963,0.5804249873742111,0.5955771824622605,0.31364167120502356,0.17702514628840624,0.21132001756508373,0.3182485961727504,0.6422487646597441,0.42835351322043524,0.39389864178927864,0.23364458350445585,0.7066455982927419,0.6819435701742814,0.6396384967460987,0.32335158906151995,0.6921965231843928,0.2532303824291792,0.4123402656357172,0.06052103615113515,0.07134907106337915,0.4581666597361479,0.3847638991277006,0.42729427073445236,0.7073973751673728,0.646316441117181,0.7248971518023202,0.05161801681294742,0.11124431900935415,0.13662583200501074,0.23505555777119108,0.7498731571285083,0.7083893446793584,0.4506832507916554,0.6359420781938854,0.6360644890100409,0.05452953625829917,0.15938604668105197,0.8316396672043922,0.055000233397495185,0.14429534364090746,0.1840500074307911
Damen/Milwaukee,0.0966226148879369,0.2259660111876745,0.28584677532670366,0.6539549689801615,0.5520791937046582,0.618604974658835,0.7004967902010614,1.0,0.7305147097793886,0.5282826657281643,0.3059396286568044,0.573397375456317,0.3885572921172032,0.37513401288733955,0.5389726968027235,0.5666326155668449,0.3913517083932109,0.42258596598858905,0.45621631088135756,0.48149044796606977,0.47730835850926184,0.42526541266303397,0.23641795296656337,0.05186165685708479,0.06616491330905139,0.17502712062012005,0.24089406633778246,0.3334305622036872,0.09842198552827945,0.10247256872717718,0.11048035682710729,0.11400549596238378,0.1627823298180757,0.38998071037752813,0.04977699123188301,0.3639713814410743,0.5604975202442183,0.7048669199786463,0.21755706023692759,0.085442409540233,0.16357541398228748,0.31563442607408154,0.5765588157705769,0.1942391910189332,0.6157843821396389,0.236670735334272,0.12898962542088582,0.2447982232951149,0.2587275602081153,0.5898575999533772,0.6732854521458099,0.09745966243630126,0.10176730381014305,0.1125691791600478,0.4776529012201606,0.18180578646177564,0.19951436010229018,0.3831480756746417,0.39996490382556177,0.4655954686556516,0.4745069281403316,0.33953401960024804,0.346652962240486,0.36410583549911646,0.4762171330325008,0.5471829649128322,0.567649313017483,0.5585218959602284,0.24982853883580444,0.35028737393481446,0.4421252386771374,0.6021453409808185,0.08839955061932674,0.14581011615198455,0.11400957919964455,0.16930339950507342,0.308893504680578,0.3323377971243209,0.42141442600524853,0.4007594731481276,0.39805633545437186,0.356084302329036,0.335572941353387,0.31478709051572407,0.27986505510795673,0.6017353570544851,0.12094659304821907,0.32298479839401706,0.46254025501914175,0.5239012815925052,0.5063938508774111,0.6239694258783126,0.3839838536641516,0.4312246141856145,0.21365492112314327,0.18073329186839326,0.1481885755365053,0.5051277736645998,0.16087757175089573,0.4582703564079708,0.13258115669999676,0.25516337464032596,0.35724518706863134,0.6173962674866056,0.8501927855715288,0.44572356353624043,0.13098804781730047,0.17534349846187874,0.2650423336857791,0.527550482869312,0.38947164795761796,0.3739833648793971,0.25362742009493405,0.5154530347085775,0.4849190809931292,0.44940576956855066,0.39273894004667964,0.71384033121362,0.3160074345106862,0.4881982130127273,0.07767241591218335,0.09146573234826556,0.530141909977061,0.4583366013319478,0.5017018628326265,0.49681654873296355,0.45288551702142177,0.561458846747867,0.06653884818776508,0.142110154570043,0.1720662905314168,0.2886843154179564,0.5282904431764257,0.49622767351789465,0.5547269734002903,0.44554073818710604,0.44559113818392954,0.07740655625875266,0.20178325554027543,0.8422189541436768,0.04199420888412424,0.10918743466742417,0.13846087926667688
California/Milwaukee,0.13179080640813876,0.26432895992932276,0.32819067121384143,0.49144411927633624,0.40335398002116535,0.4519009971534695,0.5117272340072274,0.7305147097793886,1.0,0.7194576590598181,0.4177135689975651,0.4227258421172112,0.4767405515325022,0.4799108205105814,0.6080738643666334,0.6169931765936064,0.4630356654418425,0.49084679234611006,0.3334453275299265,0.3523291400466877,0.3491176650669924,0.31081103948604655,0.32325761780905815,0.040163251908305324,0.051056212837910696,0.13277265591129792,0.1806418016035744,0.2466530556687009,0.07419393979143185,0.0777581315867929,0.08591135153865251,0.09054283876816019,0.12230847718184665,0.28555135917892804,0.0670437359762863,0.4008702414168249,0.541545637252515,0.5386072736579686,0.25089663590928957,0.10402132554665339,0.19498352526196194,0.3530881859302233,0.5309130181208092,0.22743145113778282,0.5657159961434668,0.17671490571580598,0.15592382498915647,0.2793350506821516,0.29415541542395734,0.5556937693679888,0.5788758414464679,0.12838187423436495,0.12387708517218483,0.13660182373884985,0.34907471978402677,0.1361429100763632,0.1492655842737597,0.5220070666360561,0.43490039824772236,0.3401374498931203,0.34677767706665075,0.3769531956474056,0.45506084165823857,0.47441595255308766,0.546802096450867,0.409878272195555,0.44161667046391917,0.4605590277820232,0.2724743453517214,0.35878363403649255,0.32301216829669993,0.8242248520872731,0.06788016360802127,0.10988909477505132,0.10056009477302953,0.1424632070754462,0.24129475763973926,0.2513766802082746,0.32823083959962407,0.31800717800815087,0.3238781510353317,0.3177311656374043,0.30820981049009694,0.2966784265783169,0.27123771664329555,0.4414295446105303,0.15959183428297638,0.23821177232389543,0.3382176115902219,0.38789816659574555,0.37228402990580145,0.47848524651438235,0.48015990925463103,0.41846068240719997,0.23867634934854143,0.20598200469936478,0.1288738946068903,0.4518080608695098,0.18533617185855447,0.3348219630728309,0.1813652977848568,0.29590783542566895,0.3982783367526609,0.5355630712079007,0.8592027836861746,0.6050609391339129,0.0990031187280194,0.14264055055968725,0.21386470464857518,0.4066252254244553,0.32618959634516576,0.32387102036935067,0.25232721161764254,0.3808431563258049,0.35578931224977234,0.32857785999924893,0.4268372040450371,0.5766832224926508,0.3588939374567203,0.4966106380150717,0.09484580531835075,0.11136910865242473,0.5171754917833274,0.47741355322066825,0.5060320602072248,0.3632830553359145,0.3308567994665446,0.4219880869798181,0.08173462534929113,0.17132204758653127,0.20342708421107397,0.3255183959122208,0.38660479876677833,0.362502795275828,0.5781006597506623,0.3255098691375966,0.32551174400614763,0.10521074070961023,0.2376454389957025,0.6152950914912617,0.03261173438302353,0.08385519283416396,0.10574997314701885
Belmont-O'Hare,0.1771987597057992,0.2683622550679016,0.3209388084893332,0.3537748831706313,0.2920514664508325,0.3276064397302947,0.37088073559409995,0.5282826657281643,0.7194576590598181,1.0,0.578974337655927,0.3113944151448777,0.576399333131764,0.6173985296410932,0.6140147366691983,0.5940222993884196,0.534334745219991,0.5469370169121216,0.24117210740771178,0.25715793979049,0.25457110351330253,0.2248341126634176,0.44678832529826595,0.029388307322132566,0.037277538305331134,0.09608579623067191,0.13022125084849395,0.17745659594342955,0.05360772883579829,0.056317333854208354,0.06290693124916598,0.06704241238150047,0.08824646130538395,0.20602495746108268,0.08746798085538417,0.43148698046521694,0.4821848787452341,0.40501000073558563,0.29538158773465994,0.13252938357640606,0.24035599162511057,0.3923666390584598,0.4089994940278821,0.27350374123156695,0.4783091405180698,0.12727400060470664,0.19609002020691713,0.32312001588070105,0.33779260226076785,0.481334982988347,0.4645928399336981,0.1757038584919786,0.15747524573666524,0.17286194367323116,0.25390510201085886,0.09813198167325216,0.10756062076362463,0.7251461972948932,0.3893415202048036,0.24690629797488758,0.25087522271894175,0.4124760373245096,0.6105899135698174,0.6282078416351936,0.5850940951822428,0.29508212990105526,0.32034533688511435,0.3403863344756929,0.2543956290682176,0.30926191764518013,0.2339810108473644,0.8633844367186414,0.049423309437542966,0.07936661021989623,0.07981574396201933,0.10895986211985784,0.1763069973592227,0.18152771712671253,0.23897256907046502,0.23329704972382012,0.2402045745659762,0.24829472826712376,0.24589343697016094,0.24159065513528968,0.22669013362056986,0.3181654523552241,0.21853720911422875,0.17140991575088704,0.24646905421119822,0.28745233690541705,0.27369490127837864,0.363113761838009,0.5965446586475219,0.34095236373630006,0.23041225217318945,0.20486757233982228,0.10093620561617397,0.3473242960758761,0.18748453072057444,0.24326378669502008,0.24679745311727017,0.29513737367359144,0.3697983093702883,0.4007464313195881,0.6204799585733264,0.8403003471280632,0.07158085682580075,0.10682544438220558,0.15886804827443865,0.2944847554745,0.24539936735032206,0.24829585468288992,0.21630542677290335,0.2740324738754392,0.256388339388943,0.2374894920018841,0.44859798232650305,0.44555853682619917,0.3438457887572956,0.4116972130477414,0.1213165908312424,0.1418012019607909,0.4137090372123914,0.46978544667458644,0.4761648856819471,0.26466470218886645,0.23974510915550756,0.31668398526557784,0.10529587235259062,0.21444821382166865,0.24820520848985994,0.36763430745345343,0.2820852966437491,0.262947552852138,0.5434669097007037,0.2364577371873547,0.2360515104206488,0.14005335103789357,0.24471028682169113,0.44574420154071687,0.023904653305413515,0.061037954860063554,0.07675939905290413
