,Cumberland,Oak Park-Lake,Austin-Lake,Ashland-Lake,Clinton-Lake,Grand/Milwaukee,Chicago/Milwaukee,Damen/Milwaukee,California/Milwaukee,Belmont-O'Hare,Montrose-O'Hare,Chicago/Franklin,Western-Ravenswood,Francisco,Addison-Ravenswood,Paulina,Damen-Ravenswood,Montrose-Ravenswood,LaSalle/Van Buren,State/Lake,Lake/State,Harrison,Jefferson Park,87th,79th,47th-Dan Ryan,Sox-35th-Dan Ryan,Cermak-Chinatown,Cottage Grove,King Drive,Halsted/63rd,Ashland/63rd,47th-South Elevated,Roosevelt/Wabash,O'Hare Airport,Belmont-North Main,North/Clybourn,Loyola,Noyes,Howard,Kedzie-Lake,Morse,Diversey,35-Bronzeville-IIT,Main,Granville,Thorndale,Wellington,Fullerton,Dempster-Skokie,Davis,Dempster,Washington/Dearborn,43rd,Indiana,Irving Park-O'Hare,Cicero-Lake,Monroe/Dearborn,Quincy/Wells,Argyle,Kimball,Kedzie-Ravenswood,Irving Park-Ravenswood,Illinois Medical District,Western-Congress,Austin-Congress,Cicero-Congress,Library,Logan Square,69th,51st,Midway Airport,Kedzie-Midway,Ashland-Midway,Halsted-Midway,18th,Damen,Western-Douglas,Central Park,Pulaski-Douglas,Kostner,Cicero-Douglas,Morgan,Oakton-Skokie,Cermak-McCormick Place,Washington/Wabash,Chicago/State,Grand/State,Sedgwick,Rockwell,Pulaski-Congress,Oak Park-Congress,Harlem-Congress,Pulaski-Midway,Kedzie-Homan,Forest Park,Monroe/State,Harlem-O'Hare,Ridgeland,Laramie,California-Lake,Western/Milwaukee,Addison-O'Hare,Garfield-South Elevated,Western-Midway,35th/Archer,Polk,California-Douglas,Kedzie-Douglas,54th/Cermak,UIC-Halsted,Clinton-Congress,LaSalle,Wilson,Armitage,Central-Lake,Pulaski-Lake,Central-Evanston,Foster,Conservatory-Central Park,Sheridan,Addison-North Main,Clark/Lake,Jackson/Dearborn,Clark/Division,Linden,South Boulevard,Jarvis,Bryn Mawr,Merchandise Mart,Washington/Wells,Southport,Adams/Wabash,Jackson/State,Rosemont,Harlem-Lake,Division/Milwaukee,95th/Dan Ryan,63rd-Dan Ryan,Garfield-Dan Ryan
Cumberland,1.0,0.18387624767926208,0.1683971950201922,0.06972948125126929,0.05444250240738169,0.06074954556558066,0.0686826196065629,0.09763373567548685,0.1329859378162376,0.1785700101650339,0.29512636224941413,0.05644854475341046,0.15526384440923968,0.1820540486522466,0.12244049438820076,0.11511462523462136,0.13777757880631628,0.1304216289024058,0.045272236366876335,0.047166885539393834,0.046770759370432624,0.04223059646176365,0.377245467443283,0.0076625324665156305,0.009452415608252761,0.021583145099076162,0.027614454011735626,0.03540446021446935,0.0121179209671153,0.013049414634315616,0.01590108036999463,0.018196129312925437,0.019238765966483936,0.03926114593525894,0.4539166130103021,0.09192346598458834,0.0727162258220433,0.11156945424686532,0.10452242280582522,0.12133683067687598,0.09901648131684988,0.11616610372017455,0.0882247865573121,0.026630545623231576,0.12127171208053794,0.11036125013584971,0.11053886466816487,0.09001881864951228,0.08390016102250182,0.2491446996565665,0.11450189657850465,0.1173842858853307,0.0468731372033525,0.021015912706825044,0.022854705055548506,0.2381270323777745,0.13825258432113433,0.04580948850478916,0.04701948100209768,0.10921758087696914,0.21029873437855084,0.198558382169849,0.12686244701901112,0.06728577658724717,0.07658491271107351,0.1332964266623417,0.11299006565252773,0.04370728836476236,0.16056015770612336,0.012092812508087128,0.017596561219520232,0.030715059137876793,0.033648722296911314,0.040857252979646784,0.03861150364264471,0.05273947890189155,0.053694730534385296,0.05785371479406825,0.07219463287594802,0.07692142031418976,0.08141831492402908,0.08528951003521004,0.06038656215987901,0.26903820424902375,0.033879953308214215,0.04534536800843481,0.05190490551633448,0.04972717118672832,0.06513728352935531,0.16617917278414185,0.1017175396648454,0.14441384437418614,0.15479908415345744,0.0352493939451047,0.08778306584009385,0.16021897293160595,0.04504292845131149,0.6979125014084006,0.17641333953341654,0.14971353840306134,0.09063978322509918,0.11451299104353946,0.2050937063651619,0.016131592648323964,0.029749628822226516,0.04064315457911137,0.06179359304508793,0.06238617153098897,0.06751990817505243,0.09049780439041877,0.05337038641467795,0.04903281774911663,0.04471757315867213,0.1062879986975661,0.07988278416484354,0.160650389833811,0.11775414897973172,0.10153052218709087,0.1085966968455932,0.10885983434335779,0.0995296398184959,0.09556732040655304,0.04868579693407198,0.04471997841444156,0.05690285588572079,0.0974824420108756,0.12385036616930685,0.11755392473481638,0.11044428390471227,0.051727549269122874,0.048840387107697635,0.10576124897787197,0.04381471213346192,0.0439404449499585,0.7687575166459436,0.1897273479353148,0.08236571918198368,0.006374999951273058,0.014756110708224286,0.017917428513319178
Oak Park-Lake,0.18387624767926208,1.0,0.7850521818941593,0.2096928052538592,0.153807884045202,0.16502199809142656,0.1803577468026879,0.227468169136023,0.2659003388447635,0.26993940074427136,0.2530347863355536,0.14224987889251517,0.1588460073495795,0.17757421363571899,0.17066028366971583,0.16893405298609582,0.14528382332070927,0.14803848843141448,0.1349776827978668,0.12955537750054427,0.1294912269547806,0.1275559128793556,0.23771651962504567,0.03863764532920805,0.0467206660689903,0.09347341136175279,0.10967332909796418,0.12476656493615595,0.05460046408902825,0.05988207407514384,0.07702813731143159,0.09120697404448341,0.08142857435901366,0.12439333473464516,0.13327544998727708,0.14447413401794218,0.16160408202642568,0.08289112576735794,0.0436009006520855,0.07163920221915246,0.3395981486540071,0.07849229044711818,0.15131327618785825,0.10430989799304193,0.061236001831447104,0.08936174752014521,0.09295445384732876,0.1481962200496615,0.15807218925211314,0.0775584390812236,0.051020528078343765,0.05511291733768623,0.13202001381212466,0.0865779938609435,0.09261838866154541,0.2600963014851348,0.546347998414731,0.13169392038823738,0.13867279797613097,0.11179884785356219,0.18965202359614464,0.18806375833418865,0.15916295527119637,0.22590280213385067,0.26952914846909576,0.7132080736152215,0.5219815736193729,0.12927248872018507,0.2825735444121705,0.057995526915797825,0.07627552128281462,0.16671119779768181,0.17340839443728212,0.17091542289190256,0.14779813596315916,0.2002762342909571,0.21296445700721162,0.23657031024356137,0.32835638814989493,0.36243779303286133,0.3965142436986231,0.4357840684043686,0.1747230582018072,0.09391938081403099,0.11813343650449408,0.12684469269364151,0.12932802645321329,0.12968940087324501,0.14359767107216226,0.16672623435847692,0.4203277095379075,0.781392854351297,0.7593099216032433,0.1881729351083078,0.3325383710791304,0.699214219511774,0.12900330158565051,0.20554568076873844,0.882777772184264,0.6201677448436038,0.3005506357445845,0.24768986296097184,0.25805550891020707,0.07143439755921493,0.14733368775270125,0.18538007495585504,0.21201908907495937,0.26373923564473645,0.29654083193193215,0.47778980783618186,0.16776597982391767,0.1508895457911739,0.13470193769912275,0.12202708065050111,0.1632929922564977,0.7071505489873909,0.43065092585498127,0.040523118441342314,0.046402283463889034,0.3859515393843055,0.13097574166500636,0.13642015362300544,0.13451484408965286,0.13122151296677778,0.13284251977035103,0.036175450004695145,0.06600700658850286,0.07280063354710876,0.10032284459681348,0.13971122812760137,0.13935245469432883,0.1563169943456786,0.1263486389958917,0.12850585601069447,0.16800461444148385,0.890753784384847,0.2038665131323347,0.03260122071589525,0.06959732860716733,0.08138808035983267
Austin-Lake,0.1683971950201922,0.7850521818941593,1.0,0.2670520694248151,0.19589388160294105,0.21019519608321818,0.22959266755823396,0.28744584394653777,0.32982359495064395,0.322567755833,0.27829250471303607,0.18109931296640627,0.18741627133544972,0.206765916843634,0.20797743404738755,0.20707765309007495,0.17284464426247473,0.17747117676024626,0.17168201900542665,0.1650073547240889,0.16491418323330082,0.16214065478552986,0.2508045897389783,0.044690433949292716,0.05455240474200207,0.1139496807079615,0.13601368051495266,0.15711743408425094,0.06574150512128937,0.07177873488088257,0.09082015590423823,0.106041838446957,0.09965339781298421,0.15778896154558056,0.1131594927068462,0.179155581115302,0.2047607587621548,0.09683005251434544,0.04826492610141399,0.08181113532332489,0.4323288256153141,0.09084021002279634,0.18878080026666916,0.12957894212300566,0.0689037967152586,0.10516152038998282,0.10971296764469976,0.1843722403126858,0.19841782215767587,0.08092812628835415,0.05676476347417962,0.06161598126589834,0.16810694590572164,0.10653844733714621,0.11434784264084542,0.2966658681054519,0.6957820539675226,0.16763555942847325,0.1764490327020455,0.13399287604534776,0.21736243720062198,0.21716707731480492,0.19233762707408908,0.28686924907659206,0.341951013460842,0.7615997267038648,0.6437092976794925,0.16443631762843383,0.3436261567222282,0.0685536000971147,0.09284624745151293,0.17942352736262318,0.19887873892137312,0.2109739362236949,0.18473520205042815,0.25140589639809374,0.26600001376109633,0.29450003735030117,0.40125222705806946,0.4383982477130013,0.4734753255207384,0.505464578577287,0.2225274669184994,0.09889469209148989,0.14884315770648718,0.16151951436726084,0.16466169935675354,0.16519125409336452,0.1820987227978684,0.19566764927551658,0.5288986300588641,0.7189281612352997,0.6288471853561833,0.20906445469734009,0.4207344958159522,0.5635128915754113,0.16421349998755264,0.1972177237858034,0.8892972292972219,0.7899287143258136,0.38264469777097887,0.3105557308160769,0.3013493540955926,0.08649650058920713,0.17265907313693427,0.22437103800792038,0.268757132208675,0.32687027253841566,0.36516348462151915,0.5360464366173348,0.2132258354796175,0.1918206242135259,0.17127745378455844,0.14759310525755515,0.2059476600879282,0.9007678709294569,0.5483182699487997,0.04465953244791881,0.05145850527070154,0.49137075918363005,0.16023829251948213,0.16798634919796865,0.1713235609504421,0.16695831132203942,0.16888785302214504,0.039554195910800685,0.0746157429084297,0.0835799218014648,0.1191246553714204,0.17796397475219441,0.17743085797551236,0.19229332699320598,0.16080366844213007,0.16350537434822196,0.14938673798610405,0.6992882365981488,0.258852271453526,0.037425707590961324,0.08279438270661951,0.0979834756050498
Ashland-Lake,0.06972948125126929,0.2096928052538592,0.2670520694248151,1.0,0.7333441666965912,0.7730058197079362,0.795486519428455,0.6551934001695697,0.493001814472834,0.3554162334409199,0.20796204059178003,0.6531521864193855,0.2566737928846472,0.24686118629160042,0.3600271383223737,0.38152297703725313,0.2607485439105776,0.2825915475616471,0.6341021100933896,0.6177078466403761,0.6175279847701424,0.5942830680274547,0.16197247231262624,0.08005285674991518,0.10209086577084435,0.26917030936924363,0.36869177254132973,0.5014770524211417,0.1515129549214429,0.15795120290948325,0.1696321099926859,0.173232334252391,0.24976372381383857,0.5609733769901173,0.03777443900928064,0.40149818442192375,0.6240659890935683,0.1482156713404997,0.05740489229855668,0.11020721011373474,0.616890556403759,0.13161634201378922,0.4494354361961046,0.36116651987650095,0.08661583025164964,0.16726866517728517,0.17689248546519745,0.42627735372051107,0.5079051084929677,0.06462577900512453,0.06828615082019616,0.07556363133020969,0.6292120655565717,0.2783221748088671,0.3051327603125663,0.25864806543025926,0.3838043574368912,0.6256899358683939,0.6549734197312859,0.23311301555511196,0.22868772459425193,0.23988648554821257,0.31827950699573787,0.8342377491278579,0.7335800569703119,0.25323359642775095,0.37177151521291024,0.6084716577705204,0.4093207165727352,0.13632126947528506,0.22408783829986778,0.15771933797420307,0.2437904731037613,0.4687961423881362,0.5096203132511081,0.6360898567738134,0.5947965514120477,0.573076426105917,0.45649785260458825,0.4162599086448677,0.3797117302790977,0.32911412118906735,0.8331106531548607,0.08016188183066934,0.4825475678778868,0.6046208083941645,0.598795723556149,0.6122122355332814,0.5852759905703029,0.2529818254211025,0.47391713980864275,0.2121359420821084,0.1763484254629366,0.20680399873009714,0.59867843420105,0.15554737152831033,0.6130933881312004,0.09368111669079046,0.23751209061874098,0.3380599388555015,0.6969365874436824,0.5671896300413914,0.2990026947355163,0.2015589071170872,0.26045514352427634,0.3929864615188279,0.7954845080078324,0.540134383755163,0.49706342025532446,0.29057913331992874,0.7653781055685915,0.6990364320842039,0.6296330751615054,0.27093494562356324,0.5654417115926171,0.29644555326597305,0.48683968996014854,0.05215950177089216,0.06141722504018677,0.5430830734214608,0.3204889745359222,0.35462040950122103,0.6413538406723247,0.6197868457404541,0.5860579418050529,0.044629805215203495,0.09544211177301763,0.11627230554719582,0.19765135780759815,0.6632946841002519,0.6637436214391014,0.3810049073954286,0.5992309720282727,0.6072519888624012,0.056806642397869186,0.18679822443365413,0.7427445524093824,0.06484316075805094,0.16820196044865574,0.21318260373957654
Clinton-Lake,0.05444250240738169,0.153807884045202,0.19589388160294105,0.7333441666965912,1.0,0.8911298028601119,0.7882525877460109,0.553542121656444,0.40498867272411987,0.2936571525091019,0.17043484871640538,0.8219871324619709,0.23536809099202158,0.2194225950862427,0.33654631636082666,0.36028326957157636,0.24530144750197463,0.26742707581915726,0.8260025299617468,0.8423029083097987,0.8415454890766229,0.770564151612594,0.13175609337352254,0.08322410274749338,0.10658094990927386,0.2867905679059238,0.40302861928084216,0.5758979858643902,0.16657105015250498,0.1704111667965561,0.17236316724273754,0.16862585208165964,0.27475088742364884,0.701306192850852,0.028733531234940303,0.40573197037464526,0.6562786486938871,0.14719420227546465,0.05559741309846994,0.10744096403201452,0.4523998553714119,0.12963183613530557,0.4549752788453212,0.4018935878139845,0.0838419972919452,0.16662192954902938,0.17619853983067188,0.43111416656700435,0.5154778713154015,0.05693131647698251,0.06595418341942043,0.0730729517547868,0.8542653806093058,0.3088465214106084,0.3388641964377456,0.2134472161339255,0.2815194589850091,0.8407622398082704,0.8592430141564099,0.23207160342304173,0.19893167986972282,0.2099481094472431,0.2995668243709324,0.6507852964404611,0.5495624076462352,0.186252805501873,0.2740413919764913,0.8016045704505532,0.3340913787601314,0.1431902789127651,0.2447837184432889,0.13294470250790708,0.21300570413938816,0.4417654511853773,0.5250759345078955,0.5661612195440048,0.5144967755748969,0.475686931887667,0.3530424802888498,0.3184407820270167,0.2882560481208956,0.2486005760502303,0.8802463837124008,0.0703296351019391,0.5658517819360849,0.8218411891931503,0.781645506241646,0.8222136405252464,0.6647992833815989,0.22882200167581568,0.34962342441657507,0.15585383530241886,0.12946409033600878,0.17500163168274394,0.4438408918030797,0.11415779996610884,0.8256143205288178,0.07420974958057404,0.17421889157849707,0.24798793615063253,0.5111295134669264,0.4709706548678178,0.24851945487032592,0.21881321076331703,0.23853050379903915,0.35293098097459824,0.6610880328284343,0.4344083289199068,0.3902319294852613,0.21827661914258067,0.8237780235773388,0.8455354410989918,0.8123007634572759,0.27000887331899825,0.5756433021788636,0.2174630123804465,0.35704263755059745,0.05043268010911831,0.05941056395720775,0.39827113228231703,0.32193212432809326,0.3578641897208315,0.8745493628752739,0.8208640064424039,0.7216786520541476,0.042971262366371374,0.09241721193630027,0.11402186696481265,0.19684452528002655,0.895773867883767,0.8963855131727516,0.369865417089071,0.8038527938984792,0.807044607851866,0.04391705771676438,0.1370117600617247,0.6563492037654155,0.06720609491090317,0.175839719506026,0.22457227894898069
Grand/Milwaukee,0.06074954556558066,0.16502199809142656,0.21019519608321818,0.7730058197079362,0.8911298028601119,1.0,0.8835689243106333,0.6199299075171361,0.45350278813247674,0.32923906978125633,0.1910947082314955,0.8434616253314301,0.2630104164161785,0.24582732730365411,0.3756738057129271,0.4018006142319309,0.2732963802070716,0.29778488783297186,0.7361062079791959,0.7716944620060583,0.7671099381835557,0.686816239248592,0.14767958827434946,0.07553745612699815,0.0966879995704285,0.25978829461847547,0.36402735049614815,0.5176113534264818,0.14983986038064384,0.15377451096243233,0.15741711222267388,0.1556105802634212,0.24742328771341862,0.6253083905583273,0.03185987301579809,0.4477820754800108,0.7251471464511493,0.1622810943517339,0.06151132373352945,0.11881389357790319,0.4818384529032599,0.14311879381381454,0.5025814343721787,0.36186797031785106,0.09280757695330268,0.1836379345379746,0.19422230249468853,0.4760157972541555,0.570174695459734,0.06376634310062106,0.0730172502199297,0.08088882992819488,0.771383116704086,0.27785395325040646,0.30493765300382786,0.23937247191996625,0.3016778330997416,0.7535139962118949,0.765739316889051,0.25605681000351566,0.22311180545658338,0.23541291587457439,0.333953989113202,0.6612074442998619,0.5680987386370112,0.19670954998563517,0.28809633754725605,0.7152795560067636,0.3741455518806801,0.1298068102762967,0.22061288260413356,0.12848777108169945,0.20336754974024457,0.41409019468302044,0.481973013312895,0.5436336731246209,0.49744222698279744,0.46628444687243187,0.356656557951157,0.32372070497285454,0.29449535214152595,0.2548679499004043,0.8975060740260911,0.07880164208048107,0.5068751522639304,0.7450398668106829,0.7746043934485911,0.7858895706955835,0.7169719082877155,0.25602290306542724,0.3669456653332113,0.16507584551807186,0.1374668305558986,0.16898847457486346,0.4628148782574218,0.12137186773719531,0.7413515385365788,0.08298457678885114,0.18693151187444812,0.2659983149014435,0.5433180781667404,0.5274532145972004,0.2787603873459026,0.19735261090888387,0.22430070231517008,0.3348758501747766,0.6559713983364118,0.4309452766935031,0.39123951866582396,0.22476233326053024,0.7714135821964103,0.7630810921831671,0.7238919493106178,0.2980351361876466,0.6377938351931206,0.23334181332414486,0.3817246825093954,0.05580965432654481,0.06574849814525964,0.4251658323315507,0.3551049761354108,0.3946443405809808,0.7990541155710189,0.7328181320203234,0.7488685009135616,0.04758274705030213,0.10230548759768349,0.12596324168913775,0.21705427513999326,0.8424188460730708,0.8029598785934267,0.41091637385114743,0.7209913948113276,0.7213305683118217,0.04890931392378363,0.1469970121516113,0.7354151799870914,0.06102188148953656,0.1596262957782244,0.2036939167465608
Chicago/Milwaukee,0.0686826196065629,0.1803577468026879,0.22959266755823396,0.795486519428455,0.7882525877460109,0.8835689243106333,1.0,0.7016084506165762,0.5132567416110173,0.3725230814743305,0.21620964936613665,0.788590082201353,0.2932123322056303,0.27570251771959553,0.41753496770948506,0.4456021004747536,0.30288683329991284,0.32961898409428814,0.6512491171263861,0.6854316506099913,0.6803759084245827,0.6074283454789321,0.16711612550047317,0.06892310366380434,0.08814306488883246,0.23598764922748255,0.3291324539580604,0.464410493905652,0.13501610867288946,0.139144748632496,0.14460062824976036,0.1447115415536314,0.22311669401084813,0.5546130706613113,0.03588590396651515,0.4867012576962868,0.7776393145794904,0.17696174228188366,0.06751510997287856,0.13023308542462986,0.5186664958006358,0.15643554504382007,0.5462814460132179,0.3259364658342875,0.10191006827003155,0.20009249008821633,0.2116450629154036,0.5174129987212999,0.619782875261064,0.07151229132174279,0.08021349823483875,0.08883698769624009,0.6824323575176307,0.2501743041230779,0.27459308768028234,0.27078527728060253,0.3285557622374962,0.6658577035992015,0.6774099747285053,0.2792048507145819,0.25104712409224916,0.2646740768651291,0.3703288714804812,0.6648138550548369,0.588000833640866,0.21148181696324947,0.30761370788322856,0.6321400792204637,0.4234471499360185,0.11818595071757458,0.1991911707723417,0.12592251748755592,0.19628341080169145,0.38948157425474306,0.44262330077587436,0.5209985398244168,0.4813978907075081,0.4585384882374841,0.3640574100908799,0.3330783651493186,0.30492860344619005,0.2652009351240932,0.8376682864078,0.0884469187759678,0.4529767505509006,0.6600262773022808,0.7167381884371349,0.709908705358809,0.7357424429302271,0.2862230120075742,0.39023272456112845,0.17810089202274032,0.14876077831368426,0.16528316554386924,0.4868597610527879,0.1315505786173806,0.6552972456182155,0.09389806690516354,0.20424804223237117,0.29017367092562424,0.5818332407725385,0.5969536656478802,0.3152658799952556,0.17839583223416522,0.21278832314307533,0.3198758835406423,0.6435168046168427,0.42997432700250016,0.39553680791205315,0.23516277776480304,0.7077394628381607,0.6831074654925294,0.6409130102436815,0.32498193966848654,0.6933318255791565,0.25478446249777126,0.4139707420557972,0.061281944500640624,0.07219316438725805,0.4597624570409167,0.3864044611397374,0.4289158071058499,0.7084890475757069,0.6475742992194676,0.7259368010156143,0.05230405212204559,0.11233791043782222,0.13784268356599494,0.23657657515309288,0.7508353188016627,0.7094781191332309,0.4522861619481008,0.6372256778946501,0.6373477893370423,0.05524076306379388,0.1606952740356043,0.8323229249835516,0.05571546624842183,0.145545088508881,0.18544293567665582
Damen/Milwaukee,0.09763373567548685,0.227468169136023,0.28744584394653777,0.6551934001695697,0.553542121656444,0.6199299075171361,0.7016084506165762,1.0,0.7315372591370745,0.5297865084563163,0.3075580145550383,0.5748197697555684,0.3901969751515485,0.37677605427519617,0.5404587367250624,0.5680682601985637,0.3929906383338101,0.4242105723885053,0.45781401499367286,0.48306062288074886,0.47888350478848657,0.42688830041026143,0.2379416603942628,0.05254982795679594,0.06697017594614371,0.17639125491590027,0.24242636622275893,0.3350659137266292,0.09944376201441968,0.1035177969960148,0.11156986296211914,0.11511365804368658,0.16410404070862356,0.39162002094467097,0.05044671896977695,0.5619448714842986,0.7059659568931062,0.21904031846186806,0.08638384072257674,0.16489999409623368,0.5779748957505025,0.1956622627902861,0.6171158368763778,0.23819493801994335,0.13017181187291574,0.24633771435889076,0.26029047395538557,0.5912462793408542,0.6744729598853424,0.0984757586486825,0.10280850117811623,0.11366979967700017,0.47922764407525614,0.18319174147579087,0.2009520914799623,0.3847889616033254,0.4016009562113393,0.4671836659540927,0.47608531345759736,0.3411717367212086,0.34829282142410833,0.36574821667475793,0.47779354971829324,0.5690829890369042,0.5599729535652053,0.25137688632959804,0.3519280746645724,0.443735606797066,0.6035075174551353,0.08936001950057587,0.14706613882764494,0.11511776260450893,0.17064819696952438,0.31051422478280305,0.3339726728189533,0.42303976011917627,0.4023952181918738,0.3996930973346641,0.357725998328015,0.3372091794735939,0.3164120927370117,0.2814571755595058,0.6030984359073758,0.12209007615406633,0.32461494086418224,0.46413164227962755,0.5254121440649617,0.5079311227835908,0.6252817973423083,0.38562457582937065,0.4328434108198538,0.21512891936595419,0.18211587081040914,0.14945431371909293,0.5066668521174779,0.1621923208690013,0.45986605129524283,0.1337798920722872,0.25672062103580645,0.35888703162639823,0.618724002176352,0.8508076588721816,0.4473308852955286,0.13217949696652503,0.17670867694316073,0.26661475244161165,0.529055509966006,0.3911110943937468,0.3756255099397705,0.25518215588507176,0.5169769714674158,0.48648505956905264,0.4510098401113674,0.39437746308341426,0.7149130712023948,0.3176332616231535,0.48976007730951854,0.07856159424309861,0.0924454727228914,0.531642724951754,0.45993223073681233,0.503245758786938,0.4983671342102067,0.4544863916843446,0.5629043832885411,0.06734697105705391,0.14335071764301555,0.17342052827062407,0.2902864840878139,0.5297942732996527,0.4977790509584462,0.5561850631976385,0.4471482178538733,0.44719857435321275,0.07829388690791352,0.2032270995505216,0.8428634404939248,0.04259146859491255,0.11026997290234833,0.13968577239607363
California/Milwaukee,0.1329859378162376,0.2659003388447635,0.32982359495064395,0.493001814472834,0.40498867272411987,0.45350278813247674,0.5132567416110173,0.7315372591370745,1.0,0.7205136818692726,0.4193411064970187,0.424350360664623,0.4783163602404396,0.4814828922419726,0.6094228538331156,0.6183218433266983,0.4646265415268966,0.4924052619397983,0.3350806853728062,0.3539702397256093,0.3507581133714123,0.31243320737369457,0.32488791526844873,0.0407425610250421,0.05173730353871325,0.13397226133404688,0.1820240912320953,0.24819586555880785,0.07505861526683738,0.07864790475699666,0.0868558319211878,0.09151682778140997,0.12345867787522304,0.28715009785434964,0.06785570578174178,0.5430272507906836,0.5400939378160657,0.25244680542260745,0.1050753295429203,0.19640870391023993,0.532412568843081,0.22893675832711952,0.5671534086562827,0.17808458100212793,0.15721999330187983,0.2809265281753816,0.29576321130032895,0.5571500785680538,0.580287244686301,0.12956121637735532,0.12503493905660065,0.13781856936288459,0.35071515848880996,0.13735762710140212,0.15053566548084843,0.5235209135941531,0.43651648825568945,0.3417753741899585,0.34841756793087864,0.3785950410725661,0.4566596579506634,0.47599444182571354,0.5482744982912757,0.44322745865150587,0.46215243568725434,0.2740570920832208,0.3604256495843423,0.32464232636209783,0.82493492840965,0.06869846898638304,0.11097542289923432,0.10159434150262694,0.14370526373596854,0.24282780849645097,0.25292766199400113,0.3298637833581732,0.3196343114669807,0.3255087972003887,0.3193581221316824,0.3098300015700565,0.2982886640642181,0.2728188082685526,0.4430404867046242,0.1609018271803039,0.23973896823144383,0.33985486015213695,0.3895380142427704,0.373926299219314,0.480059010217706,0.4817316834146273,0.420087786814927,0.24020443888165474,0.20743686095465394,0.1300555404220283,0.4534099378537685,0.18673304125171875,0.33645789736826126,0.18274986962928433,0.29751733736821434,0.39991501819637404,0.5370548927172913,0.8597837966050282,0.6064166626117519,0.10002830500603788,0.14388335599384933,0.2153392087616304,0.40825848544408094,0.3278214948645206,0.3255016625574805,0.25387978971529823,0.38248445175507373,0.35743096781424943,0.3302109758165839,0.42845904860766904,0.5780990524172379,0.3605359641335748,0.4981615007696473,0.09584625666577569,0.11246336515771546,0.5186968125689346,0.4789885764450073,0.5075698497855982,0.36492540276372537,0.332491004715154,0.4236130665675278,0.08265153581116937,0.17267376203624796,0.20487528560053248,0.3271499383159275,0.3882449549200168,0.36414510303107794,0.5795136322334663,0.32714140697764066,0.32714328284973593,0.10627141408230219,0.23917154007656632,0.6166276717470253,0.03311282983393956,0.08478621745328119,0.10681365025848234
Belmont-O'Hare,0.1785700101650339,0.26993940074427136,0.322567755833,0.3554162334409199,0.2936571525091019,0.32923906978125633,0.3725230814743305,0.5297865084563163,0.7205136818692726,1.0,0.5803855411738966,0.3130170130172654,0.5778157334944508,0.6187262590968918,0.615350253948342,0.5954021224071265,0.535828625939665,0.5484091793436996,0.2427049287101557,0.2587183848849517,0.256127386708225,0.2263338091266409,0.44839472078774945,0.02985371076291489,0.03782778653396797,0.09709370907415939,0.131409162137775,0.17882868336861363,0.054311057225044826,0.05704368070593959,0.0636868661552942,0.06785437212434108,0.08920595563224454,0.20747992438183346,0.08842250097300304,0.4837542124866227,0.4066439828675337,0.2969905822237107,0.13372788351211592,0.24188727837559704,0.41063164076374015,0.2750878466102461,0.4798831119261248,0.128448124664278,0.19751830740151968,0.32475023529650443,0.33942969467438106,0.4829053456095845,0.4661820939446028,0.17707022321151836,0.1587773078593125,0.17421886309155007,0.2554602947540383,0.09915205082022127,0.10863429414682638,0.726185092497904,0.3909810008966956,0.24844955614811898,0.25242535590404314,0.4141064433065779,0.611933228708086,0.6295101433960771,0.5864927440072288,0.32197392670225095,0.34202434283210176,0.2559516257120222,0.3108829200163896,0.23549988168664332,0.8639495918809814,0.05008986960720084,0.08026746762664451,0.08071967016646793,0.11004116683228611,0.17767534011236635,0.18291279953660922,0.24050122628202625,0.23481454279882874,0.241735575246315,0.2498404236379525,0.2474348952376288,0.24312425865374182,0.22819385299877373,0.31979268680940603,0.2200227439548214,0.17276192886094074,0.24801153765884923,0.289053174972598,0.27527925705492223,0.36475610129278135,0.597919054619367,0.34259056024799706,0.23192383534033817,0.20631954331303423,0.10197262477226572,0.34896432343803774,0.18888789444494156,0.24480048482873915,0.24834051875818966,0.2967461312506198,0.37144069815692365,0.4023821814646203,0.6218005243819393,0.8409519088727648,0.07242664585750799,0.10789507557818932,0.1601753433802104,0.29609287552334584,0.24693994087953006,0.24984155201689429,0.21778574912125742,0.27561727037943934,0.25794755847733386,0.23901529055134446,0.4502027776438906,0.4471660011348315,0.34548488181764664,0.4133280203768877,0.12246190573635166,0.14304045479182406,0.41533879441667465,0.4713691242456406,0.47774136291529473,0.26623657156333314,0.2412752391655505,0.3183102606356219,0.10635702076367413,0.215924120174214,0.2497507477680634,0.36927673966514823,0.28368006195450507,0.2645168937366021,0.5449451824921115,0.23798152264132078,0.2375744977620247,0.14128513447921048,0.24624961898846282,0.4473515054538547,0.024305566322904735,0.06180302070679518,0.07764221491529259
