,Cumberland,Oak Park-Lake,Austin-Lake,Ashland-Lake,Clinton-Lake,Grand/Milwaukee,Chicago/Milwaukee,Damen/Milwaukee,California/Milwaukee,Belmont-O'Hare,Montrose-O'Hare,Chicago/Franklin,Western-Ravenswood,Francisco,Addison-Ravenswood,Paulina,Damen-Ravenswood,Montrose-Ravenswood,LaSalle/Van Buren,State/Lake,Lake/State,Harrison,Jefferson Park,87th,79th,47th-Dan Ryan,Sox-35th-Dan Ryan,Cermak-Chinatown,Cottage Grove,King Drive,Halsted/63rd,Ashland/63rd,47th-South Elevated,Roosevelt/Wabash,O'Hare Airport,Belmont-North Main,North/Clybourn,Loyola,Noyes,Howard,Kedzie-Lake,Morse,Diversey,35-Bronzeville-IIT,Main,Granville,Thorndale,Wellington,Fullerton,Dempster-Skokie,Davis,Dempster,Washington/Dearborn,43rd,Indiana,Irving Park-O'Hare,Cicero-Lake,Monroe/Dearborn,Quincy/Wells,Argyle,Kimball,Kedzie-Ravenswood,Irving Park-Ravenswood,Racine,Illinois Medical District,Western-Congress,Austin-Congress,Cicero-Congress,Library,Logan Square,69th,51st,Midway Airport,Kedzie-Midway,Ashland-Midway,Halsted-Midway,18th,Damen,Western-Douglas,Central Park,Pulaski-Douglas,Kostner,Cicero-Douglas,Morgan,Oakton-Skokie,Cermak-McCormick Place,Washington/Wabash,Chicago/State,Grand/State,Sedgwick,Rockwell,Pulaski-Congress,Oak Park-Congress,Harlem-Congress,Pulaski-Midway,Kedzie-Homan,Forest Park,Monroe/State,Harlem-O'Hare,Ridgeland,Laramie,California-Lake,Western/Milwaukee,Addison-O'Hare,Garfield-South Elevated,Western-Midway,35th/Archer,Polk,California-Douglas,Kedzie-Douglas,54th/Cermak,UIC-Halsted,Clinton-Congress,LaSalle,Wilson,Armitage,Central-Lake,Pulaski-Lake,Central-Evanston,Foster,Conservatory-Central Park,Sheridan,Addison-North Main,Clark/Lake,Jackson/Dearborn,Clark/Division,Linden,South Boulevard,Jarvis,Bryn Mawr,Merchandise Mart,Washington/Wells,Southport,Adams/Wabash,Jackson/State,Rosemont,Harlem-Lake,Division/Milwaukee,95th/Dan Ryan,63rd-Dan Ryan,Garfield-Dan Ryan,Damen-Lake
Cumberland,1.0,0.18305589855707033,0.1676069840588737,0.06924089235668762,0.054025714747559406,0.060301924027241285,0.06819864204264137,0.09703582514836734,0.13227941522225484,0.1777595903570343,0.2941769519103927,0.056021751738460523,0.15450213425832557,0.1812370632327307,0.12176343278358796,0.11445942659359855,0.13705840836788657,0.12972206070865575,0.04490377808100948,0.04678807171691618,0.04639409384766467,0.041879202130035764,0.3762757000894396,0.0075646065369655985,0.009336789036118981,0.02136565546915491,0.027353980028017467,0.0350935248739323,0.011977542137999925,0.012900767356851195,0.015728155020080747,0.01800465323040918,0.019039119068903772,0.03892696553421869,0.4529709773334957,0.09134598865899538,0.07221470562964197,0.110925271674447,0.10390102788567505,0.1206629872203603,0.09841375704135125,0.11550769343756606,0.0876610388935608,0.02637682554648448,0.12059805932519169,0.10972088914908147,0.10989793970768377,0.0894483615501416,0.08335298521553693,0.24823217773105372,0.11384858110303459,0.11672218609177765,0.04649591561654343,0.020802676090049103,0.022627821951373285,0.23722653229659277,0.1375321842373659,0.04543807299434181,0.04664146556988604,0.10858086941803992,0.20943473671656673,0.19771262821398666,0.1261727519072029,0.058451434101857984,0.06680801742571467,0.07606712048931238,0.13258907091066335,0.11234143366750837,0.043347540242080346,0.15978661512455644,0.01195265908651524,0.01740985408901194,0.0304338883958441,0.03334872763965983,0.040513749371103566,0.03828116633034792,0.05233133740549584,0.05328172177758735,0.05742002530233575,0.07169534732785532,0.07640223738700587,0.08088091241167437,0.08473694776667236,0.059940666712354616,0.26810719467414523,0.03357850428044515,0.04497650620038957,0.05150105356599278,0.04933467982521924,0.06466923828554415,0.16539357978437635,0.10110555812741207,0.14367787887406028,0.15403843480130855,0.03493941551502071,0.08722098479963425,0.1594461785519818,0.04467573744289323,0.6972500573181757,0.17560707348259846,0.14896473922404518,0.09006702580999702,0.11385964139366171,0.20423757783545163,0.015956766828298295,0.029474810277697997,0.04030089191766422,0.06134103841455358,0.0619308376583953,0.06704110144225707,0.08992557193542161,0.05295902523147087,0.04864400077698452,0.04435218550028169,0.10566078031066357,0.0793515276933687,0.15987664969702992,0.11709093558281286,0.10091917546972064,0.10796197985025788,0.10822427093473967,0.09892514205046472,0.09497669995116036,0.048298825987239793,0.04435457740166631,0.05647382319897274,0.09688506129619875,0.12316923161884111,0.11689131380337686,0.1098036591699153,0.05132461341790218,0.048452592997408186,0.10513575985275983,0.04345436146929966,0.04357938992682535,0.7682239099776665,0.1888965173831786,0.08182456271906864,0.00629047237002806,0.014592757368406083,0.017728162669083263,0.07595260127140942
Oak Park-Lake,0.18305589855707033,1.0,0.7845507121608168,0.20882970602482107,0.15304950936546488,0.16423884524754492,0.17954393587560102,0.22658057863842596,0.26497197997781485,0.26900764778104225,0.25211832974406373,0.1415192998700462,0.15807624320916222,0.17676570315586307,0.16986544025178466,0.16814273588638134,0.1445457164369399,0.14729369128015352,0.1342658485709238,0.12885818844883376,0.1287942146965322,0.1268642737149503,0.2368164930748567,0.03830715281975457,0.046344272841758544,0.0928902979047839,0.10903515955564645,0.12408280628218277,0.05418288162622474,0.0594385871433937,0.07650851415766631,0.09063212529567582,0.08089113104047753,0.12371064291133024,0.13256815046382758,0.14373801967547464,0.16082826201437236,0.08234789983311266,0.043241749942836735,0.07114230717911542,0.3386311467036401,0.07796666643027314,0.15056070101150423,0.10368920931790089,0.06078607598436808,0.08879373676198923,0.09237321991211789,0.14745104392573766,0.1573041467455995,0.07703663409373059,0.050621260137209106,0.0546927646526941,0.1313160953800646,0.08602048940601521,0.09203837592574662,0.25917310389826026,0.5454766758629925,0.13099088530940198,0.13795131366990984,0.11115394360359375,0.18882132492324405,0.18723585883451035,0.15839248883689408,0.1884786357011564,0.22501721702179864,0.26859773293322636,0.7125718986184407,0.5210863357341597,0.12857607991532272,0.28163219351243224,0.05756114643832829,0.07575901113193187,0.16592449004028448,0.17260803195860178,0.17012006219326758,0.14705391714427535,0.19942769912397762,0.21209656127339846,0.23567161576668208,0.3273922960732703,0.36146787182501483,0.3955469662824926,0.43482940124213953,0.173920096164427,0.0933346582354123,0.11746908430458389,0.12615504748486567,0.1286314643390318,0.12899184273434092,0.14286372706542108,0.16593949515988618,0.41936691448610686,0.7808840889837474,0.7587580992854359,0.1873448420663023,0.3315730796699712,0.6985539767871107,0.12830763675000736,0.20468885524749433,0.8824872071454405,0.6193859184771875,0.29959818233720886,0.24677885357270382,0.257134206912455,0.0709383868265255,0.14659058940023958,0.1845569856982267,0.21115256562311538,0.262812759106068,0.29559060289935774,0.47685896995369037,0.16697707518332777,0.1501379664249376,0.13399083419405375,0.12135122142912505,0.16251352528307397,0.7065038657992135,0.42969406041280817,0.04018155282196428,0.04602762419371498,0.38498258291826143,0.13027465956296674,0.1357045209700611,0.13380423722710574,0.13051976136317356,0.13213638266486044,0.03585978321118612,0.06553500699295718,0.07229875265587711,0.09971561917151489,0.13898707885723482,0.13862922385241438,0.1555528939618952,0.12566039072035423,0.1278115698904895,0.16721521520424804,0.8904817416059764,0.20301229032274604,0.03230786716504536,0.06910931954151854,0.08085079812310617,0.23607991190560582
Austin-Lake,0.1676069840588737,0.7845507121608168,1.0,0.26612272634791995,0.19505251912120106,0.20933135161477187,0.2287024007759129,0.28650119361005166,0.32885906618163074,0.32160555622010045,0.27735423568626927,0.18028410910841977,0.18658952309999782,0.2059072226606889,0.2071169033369873,0.2062184845652835,0.17204540455313394,0.17666286468075515,0.17088511010718294,0.16422423289561897,0.1641312588270934,0.1613636711037557,0.2498903694500219,0.04432519699590459,0.05413506396829111,0.11329806981047244,0.1352991141356243,0.1563515295284828,0.0652707094633686,0.07128123824734996,0.09024673241319872,0.10541542732010796,0.09904847337656048,0.1570215516721794,0.11251033321884087,0.17834404537881807,0.20390514535156268,0.09623496347806315,0.047880202756556016,0.08127217281847554,0.43137266105053146,0.09026671253462985,0.18795163268596243,0.12888168815020135,0.06841884141278579,0.10453800851552968,0.10907467152198702,0.18355098386894755,0.19757229749856536,0.0803926774364902,0.05633641054644636,0.061164262551595835,0.1673173348488871,0.10591040916655504,0.11369500199203696,0.29571556755978806,0.6951160208887236,0.1668469254764743,0.17564269734292237,0.1332836583797584,0.2164883021149616,0.21629321436846405,0.19150227487573362,0.23966093371473698,0.28592497775959735,0.3409835279027908,0.7610522908916029,0.6429610393758136,0.16365440795927821,0.34265835291761026,0.06807019374283585,0.09226540636909665,0.1786114826812876,0.19803246334464744,0.21010894283725376,0.18391328386798617,0.25049106802502175,0.26507156919769254,0.29355099523676575,0.40028594540651946,0.43744476157969964,0.47254157528536267,0.5045548308402132,0.2216463035287524,0.09829238974963944,0.1480964318439484,0.16074387818556354,0.1638793106392354,0.1644077430048933,0.1812816543389408,0.19482666403854768,0.5280098815715062,0.718302034007608,0.6280774647432398,0.20820229202196242,0.4197738430426062,0.562660148528345,0.1634320647168647,0.1963741675639576,0.8890217898830437,0.7894370370819601,0.3816753715844464,0.3095983388324571,0.3003964745333008,0.08593930721274609,0.17186020407170588,0.22348744292025932,0.26782635611544064,0.3259066404232362,0.3641934736755379,0.5351646451600869,0.212357562287262,0.19098616013556183,0.1704813608102362,0.14684938059401237,0.20509021687430976,0.9005193507481745,0.5474490084596756,0.044294467144364504,0.05105696216495029,0.4904497564155267,0.15946545572183607,0.16719698778589118,0.1705273748605321,0.16617108730741545,0.1680966309355271,0.039218291176765493,0.07410616729558332,0.08303399609664458,0.1184573421670774,0.1771547152009396,0.1766226235738687,0.19145805075100608,0.16002959302148898,0.16272545203332303,0.14863871570494028,0.6986281192381877,0.2579302243356942,0.03710245941606476,0.08225153716438866,0.09738434268977805,0.30082957905442714
Ashland-Lake,0.06924089235668762,0.20882970602482107,0.26612272634791995,1.0,0.7327438941472497,0.7724805044166198,0.7950060998149111,0.6544623485716314,0.4920820601491749,0.35444679368247306,0.20710153309924373,0.6524180372913209,0.2557537984425524,0.24595104851312594,0.35905734156710795,0.38055354254526913,0.2598247494118903,0.2816501840648068,0.6333398730722909,0.6169226475193378,0.6167425400562293,0.5934670638863212,0.1611958528654557,0.07952091575862945,0.1014776197036281,0.26823919032460997,0.3677217251485726,0.5005640137158712,0.15075991156353608,0.15718343048106528,0.168839361341838,0.1724323218972292,0.24885056511598455,0.560117796999852,0.03744909588822911,0.40053195851150714,0.6232895603852,0.1474704485127187,0.05697339574427379,0.10956733885444005,0.6161042424270972,0.13091351739959778,0.44848738749903294,0.3601966590058008,0.08605818143515469,0.16648079415190942,0.17608529060350567,0.42531874272597214,0.5069974160135422,0.0641600736362863,0.06780393058165139,0.0750500836961561,0.6284428608332099,0.2773838838280465,0.30417793777820146,0.2577262086654111,0.38283515234729015,0.6249157747590514,0.6542420335048855,0.23221842799519216,0.22779859142564968,0.23898397702100635,0.31731888585630375,0.8342963425003146,0.8338386388855071,0.7329802137569211,0.2523169430056254,0.3708015089082146,0.6076740269977478,0.4083564697670455,0.1356058959245557,0.22320461415198636,0.1569520838208629,0.24288362929111482,0.4678593510682433,0.5087140837588985,0.6353304805907616,0.5939811967092681,0.57223463703584,0.45555365999473607,0.41529774818477444,0.37874213930076783,0.3281498014285175,0.8327091096486012,0.07962950252767237,0.48162006087998493,0.6038181036541259,0.5979854669146472,0.6114195951273268,0.5844487861971903,0.2520654213327067,0.4729836830478254,0.2112692484072325,0.1755422855097866,0.20594524653486848,0.5978680270341172,0.15478501603735864,0.6123019320928367,0.09309725310843651,0.2366123005768085,0.3370932763128049,0.6962724971738501,0.5663410479227203,0.2980510831900754,0.20070832064382566,0.25953161700320865,0.3920185396898406,0.795004084301422,0.5392566845854017,0.4961468366327155,0.2896324765387837,0.7648379476686804,0.6983758883209314,0.6288644663820202,0.2700023806711954,0.5645911434907754,0.2954953788203976,0.48591529423612745,0.05175433753453868,0.06096644335223635,0.542208376872787,0.3195275211919925,0.3536510472833553,0.6406021198135519,0.6190044954344889,0.5852316953372455,0.04426490509170652,0.0948519367910627,0.11561357227792804,0.19680708811117117,0.6625760914611641,0.6630257269017215,0.38003542582060545,0.598421274501629,0.6064527440345687,0.05637808322825161,0.18597258061594607,0.7421615438810996,0.0643764596821767,0.16741215286473266,0.21231439292015553,0.8843496598286357
Clinton-Lake,0.054025714747559406,0.15304950936546488,0.19505251912120106,0.7327438941472497,1.0,0.8908586379671928,0.7877575356902314,0.5526784151370059,0.40402328063912085,0.2927086114891955,0.1696404631917307,0.8215617918920461,0.2344708094189778,0.21854561827206417,0.335580005835226,0.3593134575748271,0.24439297019214676,0.2664974151116813,0.8255857340594072,0.8419213270217923,0.841162252876125,0.770034063368232,0.13105288971064266,0.08267956982139597,0.10595277277056804,0.2858463485462704,0.4020627491435139,0.5750595094948552,0.1657846356133637,0.16961682941911,0.17156489028239227,0.16783516944642737,0.27381529918608055,0.7006495013327512,0.028465487083997786,0.4047667661365351,0.6555492508047249,0.14645144117969655,0.05517484192716036,0.10680998451503683,0.4514533898101843,0.12893443647932917,0.45403023034772266,0.40092745234748256,0.08329504829660585,0.16583540852361528,0.17539269127576956,0.43015749290285443,0.5145767527375658,0.05650214380265946,0.06548242313072326,0.07256990892099094,0.8539101745165302,0.3078899120855127,0.33789735413540056,0.21257862390495244,0.2805788509287174,0.8403772941555128,0.8588989138476834,0.23117827936524923,0.19808531822293257,0.20908463110751352,0.29861490357504117,0.7618364377972787,0.6500475766944345,0.5486944572683556,0.1854281407956741,0.2731063552158879,0.8011366620391812,0.33312567741338195,0.1424573484996266,0.24387579807227047,0.13223829070717305,0.21213774878411518,0.44081354692478886,0.5241835699146407,0.5653114672193114,0.5135947886402533,0.474754661609321,0.3520732857684122,0.31748009877650313,0.2873108703595493,0.24768861719882437,0.8799499799552831,0.06983842125652154,0.5650016784750481,0.8214155390354655,0.7811372431338026,0.8217887805800205,0.6640830335714338,0.2279326997038139,0.34865465725491196,0.15509078379601468,0.12876715288916316,0.17419812215987462,0.4428899963660599,0.11350554582155288,0.825196696266965,0.07370188489882136,0.17341692336604844,0.24707661503570583,0.510224583868568,0.4700352615290922,0.24760758023425447,0.21793706918467207,0.2376295401277915,0.35196179900730656,0.6603660205178947,0.4334530568492035,0.3892635625966834,0.2174012167327095,0.8233564875829551,0.8451609429273947,0.8118550246358146,0.26907706337837417,0.5748045252905291,0.21658873737256432,0.3560730539449376,0.05003648140563471,0.05896933819377663,0.39730420675818323,0.3209701491392743,0.356894540894186,0.8742398893324047,0.820436285165618,0.7210573991903358,0.04261566136010276,0.09183793177414354,0.11337003284355443,0.19600158510799456,0.8955135799991268,0.89612666259736,0.36889537737462996,0.8033895141169808,0.806587927923138,0.043556133638013625,0.13629458118393048,0.6556199135529082,0.06672869275587706,0.1750345699126181,0.2236884208454571,0.6480156584758349
Grand/Milwaukee,0.060301924027241285,0.16423884524754492,0.20933135161477187,0.7724805044166198,0.8908586379671928,1.0,0.8832801880290374,0.6191477539249096,0.4525569247039169,0.32827471291865956,0.19026149735126296,0.8430825792528182,0.2620845851962671,0.24491828723740494,0.3747039481539684,0.40083445740638357,0.2723619277460067,0.296833953460622,0.7355109750946983,0.7711665807428174,0.7665731326456374,0.6861352919084356,0.1469356550820938,0.07502401775567125,0.09609341106054353,0.2588653804089956,0.36305737040325503,0.5167121401901587,0.14909076140199914,0.15301621316168962,0.1566505349664087,0.15484808108786188,0.24651255791247537,0.6245336956753171,0.0315712727715222,0.44683316622923297,0.7245320798988274,0.1615038068706287,0.06106009821160919,0.1181475063472877,0.48091044156760276,0.1423860415705201,0.5016692987697766,0.36089807469661267,0.09222687634796334,0.18281802261659924,0.19338374369607367,0.47508374936839626,0.5693295378675903,0.06330459321916647,0.07251444483917553,0.08035353803051111,0.7708546270880177,0.27691600969871116,0.3039829276262867,0.23847054661792905,0.3007247799000412,0.7529511525894795,0.7651998573422474,0.2551374057595222,0.222229866971758,0.23451558133111025,0.33298832326269134,0.7465366555033943,0.6604856165446649,0.5672511950780889,0.19586683308038633,0.28715126327790425,0.7146470057625046,0.3731756232563707,0.12910892910312824,0.21973428721510913,0.12779353518090883,0.202514107337813,0.4131273488025494,0.4810450974676306,0.5427595419414052,0.49652594355849644,0.46534607397386996,0.35568700671849585,0.32275810671746186,0.29354631279572846,0.2539496939716316,0.8972498595288408,0.07827475941471494,0.5059665886333996,0.744461121636227,0.7740822140922339,0.7853897768242838,0.7163423311599665,0.25510353136997754,0.3659756247815279,0.16429257865198668,0.1367484668831652,0.1681970455964748,0.46187437945382015,0.1206979217119885,0.7407659517474128,0.08244098368879937,0.1861056294237867,0.26506987179782493,0.5424436227446842,0.52656309019521,0.27782177308598344,0.19650883248306836,0.2234171992663681,0.3339099490056352,0.6552415317752244,0.4299885329578996,0.39027130864030485,0.22387822719834552,0.7708851520936875,0.7625365038805659,0.7232746389453087,0.297084061591244,0.6370369245150701,0.2324469498191618,0.38075526685122146,0.05538602719765506,0.06527767074082523,0.424206796554793,0.3541355661433567,0.3936767112229251,0.7985809764976167,0.7322169027758957,0.748296908700289,0.047201687296952746,0.10169151619073134,0.12527608226663373,0.21618056953980844,0.8420375182607361,0.8024947584887189,0.4099525794788578,0.7203689214015702,0.7207086970464345,0.04852115320568969,0.14625472842850853,0.7348186836664563,0.060572968659304324,0.15885480566425877,0.2028399635229446,0.6864821354488027
Chicago/Milwaukee,0.06819864204264137,0.17954393587560102,0.2287024007759129,0.7950060998149111,0.7877575356902314,0.8832801880290374,1.0,0.7009522735586113,0.5123536642110114,0.37155309544333825,0.21533712683963202,0.7880957089192531,0.29226405820303397,0.2747661973858807,0.4165732239897801,0.44465208123374034,0.3019331491323535,0.3286545151891731,0.6505120952953863,0.6847484275553581,0.6796844386638107,0.6066293336332966,0.16632857229268488,0.06843806310142272,0.08757962512353819,0.23508963750364634,0.32816812874596885,0.46347096427844964,0.13430417273557663,0.13842205061126236,0.14386420183519988,0.1439748417462784,0.22223474905864263,0.5537505191094179,0.03557200896921817,0.4857767600603317,0.7771231128512481,0.17615441345093044,0.06703632468715912,0.12953403376840128,0.5177682334714148,0.1556711767697568,0.545410054169823,0.32497313185643867,0.10129743415050298,0.19924425054301326,0.21077908545991006,0.5165136073596828,0.6190005194968294,0.07101594407702023,0.07968091155531297,0.0882709397946088,0.6817442302010944,0.2492607253058469,0.2736576216789504,0.26985283378390323,0.3275916098058589,0.6651431072640334,0.6767137132584969,0.2782659104207684,0.2501326580782356,0.26374678036567545,0.3693588375079764,0.7134259894137348,0.6640976279784538,0.5871769791853105,0.21061607835723511,0.3066576785602235,0.6313750345297002,0.4224874724593384,0.11752144109769982,0.19834438778872462,0.12523547330327992,0.19544140038925034,0.3885130950119104,0.4416718103800484,0.5201023992689504,0.48046956742306324,0.45759546376670057,0.36308742906123737,0.332112929034801,0.30397388258301467,0.26427318035060765,0.8372766070537603,0.08788233520192405,0.4520305990535931,0.6593026265143653,0.7161082000820616,0.7092667898890076,0.7351465447444799,0.2852791691233249,0.389264357793623,0.17729136986803085,0.14801424937872115,0.16449946010852945,0.4859353801134638,0.13084793250892737,0.6545663520551097,0.09331342110320265,0.20339322486196124,0.2892272687455959,0.5810018518619807,0.5961410519890714,0.3143064592693744,0.1775857453345249,0.21192068224239652,0.3189146570778442,0.6427682624893581,0.4290171838192494,0.39456934361694307,0.23426573910210624,0.7070937952546008,0.6824204390366433,0.6401606438965317,0.3240189177415858,0.692661686138131,0.2538662877580484,0.4130078593104364,0.06083180155249582,0.07169388514451762,0.4588201447350748,0.38543556115238764,0.42795823504764197,0.7078446745545107,0.6468317718646033,0.7253231490095895,0.05189814427198468,0.11169131515634831,0.13712334433635834,0.23567787335567295,0.7502674213040981,0.7088354574870884,0.45133963472090927,0.6364679438043092,0.6365902321059631,0.054819971120935555,0.15992143567858988,0.8319196832624539,0.055292307468529894,0.144806341224548,0.1846197325819038,0.7230083501608368
Damen/Milwaukee,0.09703582514836734,0.22658057863842596,0.28650119361005166,0.6544623485716314,0.5526784151370059,0.6191477539249096,0.7009522735586113,1.0,0.7309337045577471,0.5288986103327714,0.3066020117415244,0.5739800231641531,0.38922860294442485,0.37580625816545005,0.5395813657622627,0.5672206817589351,0.392022717218491,0.4232511776788231,0.45687057305388834,0.4821334824954883,0.47795342156246967,0.42592992615846587,0.23704137391040775,0.052142658163819994,0.06649383226175208,0.17558503175809576,0.24152101834117085,0.33409996487450505,0.09883956055687625,0.10289975062239777,0.11092567910277004,0.11445846236845982,0.1633228387781312,0.39065187193980355,0.050050446758470306,0.5610903731887571,0.7053172347602115,0.21816386508200716,0.0858270777272185,0.16411709976773708,0.5771388811720709,0.1948212865437381,0.6163298299164135,0.23729435978884142,0.1294729282376407,0.24542813095275287,0.2593670982174014,0.5904264583752843,0.6737719872682345,0.09787491070062523,0.10219283441563896,0.11301905540294611,0.4782977996728526,0.18237265031681468,0.20010247276238552,0.3838198665945335,0.40063475370990154,0.46624585518306505,0.47515331265848915,0.3402044065878823,0.3473242443922679,0.36477819348929086,0.47686271440645117,0.5477857828487503,0.5682365742145785,0.5591162643176059,0.2504620872064068,0.3509590097931467,0.4427846595651525,0.6027033578821739,0.08879201519272349,0.14632368767822745,0.11446255434319645,0.16985337808163412,0.3095568515104028,0.3330070021325225,0.42207993323499726,0.401429198945809,0.39872647161052477,0.3567563601233845,0.3362427125816973,0.31545220652157197,0.2805166117215351,0.6022937431159748,0.12141403347711822,0.3236520408838457,0.4631919422322188,0.5245200945693179,0.507023452378919,0.6245070652789043,0.3846555794636759,0.431887464652747,0.2142579233181457,0.1812987704847693,0.14870613063682595,0.5057581129758145,0.16141522538573652,0.45892379966105945,0.13307124279193724,0.25580058195833644,0.3579173085564927,0.6179401931674396,0.8504447832755576,0.4463817440043305,0.13147514728378562,0.17590183798424355,0.2656857815271823,0.528166911443742,0.3901428639935247,0.37465564988346933,0.25426359504663176,0.5160771892537409,0.4855604029791333,0.4500626258080111,0.3934097854006971,0.7142798785135623,0.3166728915339382,0.4888378557301429,0.07803568797393384,0.09186608958118722,0.5307566173132373,0.4589900178939688,0.5023341695224234,0.4974515869616828,0.4535410712203683,0.5620509577035023,0.06686893788766506,0.14261738769366092,0.1726201416792528,0.28934001091924305,0.5289063826302276,0.4968630351020206,0.5553242168622181,0.44619898296133365,0.446249365244367,0.07776907181576405,0.20237387740190899,0.8424830850933211,0.0422380204358971,0.109629902037834,0.13896168821009816,0.6642863951223278
California/Milwaukee,0.13227941522225484,0.26497197997781485,0.32885906618163074,0.4920820601491749,0.40402328063912085,0.4525569247039169,0.5123536642110114,0.7309337045577471,1.0,0.7198903610779888,0.4183799706900268,0.4233910181249246,0.4773858848570127,0.4805546290616358,0.608626486317251,0.6175374836319999,0.4636871442413697,0.4914850493457893,0.3341147328267047,0.3530009443557147,0.34978919463731517,0.31147498428886683,0.3239249244797487,0.04039972182137972,0.05133431726225637,0.13326309864345492,0.18120716151301727,0.24728432754969504,0.07454717993026377,0.07812164719732477,0.08629726841018556,0.09094084046935283,0.12277867060448401,0.2862056415423073,0.0673754003183864,0.5421524970047008,0.5392161977558758,0.2515309333702715,0.10445210257038581,0.19556648552247127,0.5315272088155567,0.22804731225606392,0.5663047852382854,0.17727509011693673,0.15645385835765266,0.27998634254782284,0.2948134301448798,0.5562902848512243,0.5794539941755682,0.12886401123834906,0.12435041510690197,0.13709929264251153,0.3497462453159744,0.13663954738212247,0.14978492017142264,0.5226270990327894,0.43556214781821917,0.3408079232530832,0.34744897250471096,0.37762536497727234,0.4557155570862149,0.4750623794802862,0.5474051908099827,0.41054636941892453,0.44227626236455503,0.4612115387828202,0.2731220430668434,0.35945582932297165,0.32367941724429683,0.8245158556264096,0.06821442129627213,0.1103331149389979,0.1009827780524618,0.14297105254666453,0.24192201828102267,0.25201131163106566,0.3288992428704345,0.3186731752520655,0.3245456021211088,0.318397089687593,0.30887293886208594,0.2973374479715511,0.27188473317598744,0.4420891991656536,0.16012753724801462,0.23883662678717743,0.3388878033512138,0.3885695433182864,0.37295636174994806,0.4791297454546886,0.4808035963809674,0.41912690833466726,0.23930157104346547,0.2065771473886345,0.1293569758287278,0.452464023461326,0.18590751422684812,0.3354916079606519,0.18193159410660517,0.29656655352881944,0.398948440467346,0.5361741031551037,0.8594409074595184,0.6056163160867033,0.09942209050466252,0.14314870301801239,0.21446791457079792,0.40729394655738593,0.3268575662912485,0.3245384698079677,0.25296249937586146,0.3815151095640993,0.3564613527587205,0.32924633462732544,0.4275012936171626,0.5772631856291331,0.35956613757096295,0.4972457894556918,0.0952546453481349,0.11181637730444656,0.5177985776454439,0.478058566066682,0.50666187313333,0.36395539750920736,0.33152572610940056,0.42265345023638823,0.0821092524840938,0.1718748636135046,0.20401949483909093,0.32618621828271976,0.3872762988455854,0.36317511930609614,0.5786794542683994,0.32617768961708027,0.326179564901463,0.10564425003595558,0.23826984355272487,0.6158409997809514,0.03281622184822417,0.08423559950670982,0.10618471306355257,0.5176317368029177
Belmont-O'Hare,0.1777595903570343,0.26900764778104225,0.32160555622010045,0.35444679368247306,0.2927086114891955,0.32827471291865956,0.37155309544333825,0.5288986103327714,0.7198903610779888,1.0,0.5795524087023497,0.31205853757695107,0.5769795295597903,0.6179424531803857,0.6145618466489118,0.5945875351182752,0.5349466187469477,0.5475400134052612,0.24179927370522558,0.2577964625230257,0.2552079147529821,0.2254476690080329,0.4474461285336588,0.02957820348968945,0.03750212368361132,0.09649769249134986,0.1307069001782827,0.1780177699814943,0.05389493186494894,0.056613955716694205,0.06322548359191231,0.0673740726047062,0.08863852676320656,0.20662014558399866,0.08785800921423734,0.4828275700068264,0.4056790140268126,0.29604009661067965,0.13301937316135318,0.24098252725280433,0.4096677644567225,0.27415199815462643,0.4789537242070013,0.12775399887970695,0.19667425635105681,0.3237872902330777,0.33846272899526525,0.4819780941161628,0.465243657352561,0.17626268468036935,0.15800769616296095,0.17341689493536414,0.2545414648575014,0.09854885733343187,0.1079994561126095,0.7255718857380116,0.3900127499704846,0.2475377541328896,0.25150950524391147,0.41314360244771065,0.611140213984487,0.62874136052832,0.5856670313739283,0.29574051895332304,0.32101193665246996,0.34105684289019145,0.255032322477006,0.309925381045938,0.234602444438211,0.8636160627880228,0.04969546906044442,0.07973466421052242,0.08018505448583838,0.10940182409614861,0.17686663506387132,0.18209422293977873,0.2395980240535719,0.23391791722125171,0.24083099262667607,0.24892718632316463,0.24652415324680588,0.24221814291497543,0.22730534247924378,0.3188314913733422,0.21914494892495168,0.1719628542954803,0.24710019190171828,0.2881074841636631,0.2743432612669069,0.36378610033498754,0.5971076743592375,0.34162295063700665,0.2310306915605592,0.2054615304955578,0.10135977882149905,0.3479956487811531,0.18805853808611103,0.24389254637633015,0.24742883013024808,0.2957957848726059,0.37047068419942186,0.40141615917722484,0.6210209509627705,0.8405673769982417,0.07192636508438627,0.10726262364504423,0.15940264481606348,0.29514290383705843,0.24602971995112755,0.2489283135459873,0.21691102594344847,0.27468101527329913,0.2570263579318899,0.23811377223871918,0.4492551338011962,0.44621677534603255,0.3445167501156466,0.41236494084122693,0.12178478195861767,0.14230789790912643,0.4143763393155398,0.47043398995986985,0.4768104917584386,0.2653079240114611,0.24037116939849212,0.3173496276355462,0.10572957629468221,0.2150519995564927,0.24883760237673486,0.36830669486832474,0.2827379424219275,0.263589734494411,0.5440724039237452,0.23708119019352802,0.2366746354707544,0.1405569847344325,0.24534012916619813,0.44640237474109173,0.02406819121366729,0.061350421743222555,0.07712006612056316,0.3749026033246014
