,Cumberland,Oak Park-Lake,Austin-Lake,Ashland-Lake,Clinton-Lake,Grand/Milwaukee,Chicago/Milwaukee,Damen/Milwaukee,California/Milwaukee,Belmont-O'Hare,Montrose-O'Hare,Chicago/Franklin,Western-Ravenswood,Francisco,Addison-Ravenswood,Paulina,Damen-Ravenswood,Montrose-Ravenswood,LaSalle/Van Buren,State/Lake,Lake/State,Harrison,Jefferson Park,87th,79th,47th-Dan Ryan,Sox-35th-Dan Ryan,Cermak-Chinatown,Cottage Grove,King Drive,Halsted/63rd,Ashland/63rd,47th-South Elevated,Roosevelt/Wabash,O'Hare Airport,Belmont-North Main,North/Clybourn,Loyola,Noyes,Howard,Kedzie-Lake,Morse,Diversey,35-Bronzeville-IIT,Main,Granville,Thorndale,Wellington,Fullerton,Dempster-Skokie,Davis,Dempster,Washington/Dearborn,43rd,Indiana,Irving Park-O'Hare,Cicero-Lake,Monroe/Dearborn,Quincy/Wells,Argyle,Kimball,Kedzie-Ravenswood,Irving Park-Ravenswood,Racine,Illinois Medical District,Western-Congress,Austin-Congress,Cicero-Congress,Library,Logan Square,69th,51st,Midway Airport,Kedzie-Midway,Ashland-Midway,Halsted-Midway,18th,Damen,Western-Douglas,Central Park,Pulaski-Douglas,Kostner,Cicero-Douglas,Morgan,Oakton-Skokie,Cermak-McCormick Place,Washington/Wabash,Chicago/State,Grand/State,Sedgwick,Rockwell,Pulaski-Congress,Oak Park-Congress,Harlem-Congress,Pulaski-Midway,Kedzie-Homan,Forest Park,Monroe/State,Harlem-O'Hare,Ridgeland,Laramie,California-Lake,Western/Milwaukee,Addison-O'Hare,Garfield-South Elevated,Western-Midway,35th/Archer,Polk,California-Douglas,Kedzie-Douglas,54th/Cermak,UIC-Halsted,Clinton-Congress,LaSalle,Wilson,Armitage,Central-Lake,Pulaski-Lake,Central-Evanston,Foster,Conservatory-Central Park,Sheridan,Addison-North Main,Clark/Lake,Jackson/Dearborn,Clark/Division,Linden,South Boulevard,Jarvis,Bryn Mawr,Merchandise Mart,Washington/Wells,Southport,Adams/Wabash,Jackson/State,Rosemont,Harlem-Lake,Division/Milwaukee,95th/Dan Ryan,63rd-Dan Ryan,Garfield-Dan Ryan
Cumberland,1.0,0.18355438552362963,0.16808713563709968,0.06953763538295225,0.05427881703941911,0.06057376622662202,0.06849258208647549,0.097399027689775,0.13270866320216204,0.1782520362858051,0.29475400456717976,0.05628093483489089,0.1549649485801283,0.18173350367734115,0.12217476412760178,0.11485746293496168,0.13749534856035944,0.13014707925418248,0.045127510041967724,0.04701809656330212,0.046622813194941756,0.042092564975744,0.3768652006730419,0.007624013483706312,0.00940694175351924,0.02149766686875426,0.027512102187651124,0.035282304200290625,0.012062723474034576,0.012990969421726188,0.015833100253055864,0.01812086469128371,0.019160293097009912,0.03912986859734512,0.4535458638428572,0.09169676803738463,0.07251930906212255,0.11131660935902211,0.10427850942571736,0.1210723615411213,0.09877988637636573,0.11590768275086522,0.08800347112133158,0.02653084481205504,0.12100731767709967,0.11010990304515354,0.11028729653740325,0.08979487284504514,0.08368534269208433,0.24878676093588073,0.1142454723148741,0.11712441898513407,0.04672497287740646,0.02093210421675431,0.02276553907106279,0.23777379643530414,0.137969872295163,0.04566360199413922,0.04687100524209333,0.10896766416929718,0.20995978332095316,0.19822657292991577,0.12659176611404688,0.05871786526214447,0.06709817768096556,0.07638161535351443,0.1330188255948787,0.11273547693082668,0.0435659793115788,0.1602566269848244,0.012037703554587413,0.01752316918820214,0.03060458405507022,0.033530859705137715,0.04072231748006397,0.038481734264663406,0.05257918506610558,0.05353252746023656,0.05768339985147701,0.07199859239490466,0.0767175776495359,0.081207328458551,0.0850725798647751,0.06021145980934819,0.26867303621272964,0.0337615199698758,0.04520048337190139,0.05174629433280576,0.049573016532161354,0.06495349414979047,0.16587092209787552,0.1014773160386505,0.1441250339933115,0.15450060386522793,0.035127613440470204,0.08756240379728833,0.15991573528026423,0.0448986993119929,0.6976528709649688,0.17609699232682663,0.14941970027413404,0.09041493561903445,0.11425655338648419,0.2047578356596362,0.016062866214025584,0.02964164682490783,0.04050870598380641,0.06161587892616632,0.06220736739663,0.06733189844856033,0.09027316258581766,0.05320882961614937,0.048880104524375315,0.044574051524313096,0.10604180276462326,0.07967420747699162,0.16034678173053532,0.11749384565907507,0.10129054739533638,0.10834756184940383,0.10861036760261263,0.09929234969013391,0.09533547014013721,0.048533807896076045,0.044576451540763076,0.05673436748703301,0.09724794170987743,0.12358303983048093,0.11729385751976136,0.11019283344232693,0.05156929744561818,0.04868807514604726,0.10551573083721529,0.04367316668044786,0.04379862315097773,0.7685483974372908,0.18940138160404152,0.08215326087036535,0.00634174628758942,0.01469188968011449,0.017843031763223702
Oak Park-Lake,0.18355438552362963,1.0,0.7848556603844202,0.20935420587277445,0.15351029480975462,0.16471470315042128,0.1800384449453569,0.22711998439915854,0.26553620706319325,0.2695739421107132,0.2526753087015226,0.14196317882240642,0.1585439566523677,0.17725698747191715,0.17034840996354475,0.1686235603740931,0.1449941740050692,0.1477462181108092,0.13469832696510478,0.12928176009839554,0.12921767882799104,0.12728447018919767,0.2373634689442148,0.038507815054143434,0.046572826718409135,0.09324450392982987,0.10942284091183849,0.12449821029582922,0.05443646695823671,0.0597079163733916,0.07682412203085723,0.09098130657134862,0.0812175718941725,0.12412539814947846,0.1329978709514948,0.14418526532448267,0.16129965924542858,0.08267785606738519,0.04345982598736631,0.07144409914410144,0.33921893426947164,0.07828592221312092,0.15101795882779676,0.10406626143453923,0.06105931872838316,0.08913876077241635,0.09272628322333579,0.14790380126385202,0.15777081293307915,0.07735356829237802,0.050863715085688495,0.05494791203915522,0.13174375958580437,0.08635912607079368,0.09239069677341873,0.25973418770993917,0.5460064355171796,0.13141801228851432,0.13838966114967144,0.11154572012054562,0.18932610890229118,0.18773893967143515,0.15886062948151497,0.18898305337030522,0.22555540214689765,0.26916382173787273,0.7129587431063829,0.5216306229379848,0.12899917705304567,0.2822043347583469,0.057824940949750714,0.07607272663823603,0.16640251049458607,0.1730943592338708,0.1706033465935734,0.14750609220886562,0.19994333621650778,0.21262398015468695,0.23621778072419744,0.3279783046740089,0.3620574537124708,0.39613496844843377,0.43540976607642157,0.17440800492785452,0.09368984258011387,0.11787268688967387,0.12657403134347317,0.12905465471266328,0.1294156388468689,0.14330965266430892,0.16641753474085919,0.41995099369298733,0.7811934729998432,0.7590936615772703,0.18784804066226243,0.33215982111061365,0.6989554522324022,0.12873028143930543,0.2052095372176299,0.8826639130654813,0.6198612960826868,0.3001770900326934,0.24733251585745208,0.257694136374653,0.07123964125557081,0.1470420829518926,0.18505713982394442,0.21167914935764515,0.26337583979286494,0.29616815458862167,0.4774248753548191,0.16745643207666697,0.15059461853279762,0.1344228681769061,0.1217618215767639,0.16298714100041525,0.7068970983595091,0.43027575806627993,0.04038894334207436,0.04625512436878752,0.38557159753681536,0.13070059881000898,0.13613930951075504,0.1342359691618309,0.13094610777688,0.13256539620134508,0.03605143730282273,0.065821666406811,0.07260357534574935,0.10008448526830722,0.13942704717196358,0.139068633576207,0.15601716221234155,0.12607852504387707,0.12823337610988336,0.16769487297917754,0.8906471840604452,0.20353138845308463,0.03248596437682268,0.06940571011900458,0.08117714105225891
Austin-Lake,0.16808713563709968,0.7848556603844202,1.0,0.2666875528688361,0.195563791664936,0.20985630499042224,0.2292434355705585,0.28707534529382717,0.32944534157225325,0.3221904091306748,0.2779244993013134,0.180779465639898,0.18709190346320953,0.20642904179220078,0.20763984008835912,0.20674059235650588,0.17253104877681372,0.177154028292923,0.17136933636112225,0.1647000719310977,0.1646069777660614,0.16183577620454423,0.2504459867417992,0.044546971440975025,0.05438850241407289,0.11369392449438796,0.13573325418190846,0.15681689522693426,0.06555663709279266,0.07158339589817879,0.09059504717526799,0.10579595892283343,0.0994159404363919,0.15748783303573913,0.11290469724580261,0.17883717022982498,0.20442508970731516,0.09659645054830518,0.04811381879367965,0.08159953721475967,0.43195393379650027,0.0906150722846428,0.18845548507710574,0.1293052992819651,0.06871337576934847,0.10491677724745134,0.10946242984704391,0.1840500228676537,0.19808610268784763,0.0807179058204162,0.056596541700760845,0.061438594994478325,0.16779712148175738,0.10629193008768673,0.11409160446856095,0.2962931628409519,0.6955210162580446,0.16732611770009048,0.17613265835292763,0.13371454543474418,0.21701951826341323,0.2168242648892611,0.1920098903215677,0.2402098859827331,0.28649889848143095,0.34157161152916754,0.7613851862748435,0.6434160152033709,0.1641295096117256,0.34324663147750906,0.06836378658080937,0.09261823083385042,0.17910491717150911,0.1985467254665894,0.2106345954104374,0.18441272548293663,0.2510470555692134,0.2656358484761553,0.2941278234512603,0.4008733458645511,0.4380244102327537,0.4731092485942689,0.5051079305477587,0.2221817973237169,0.09865826254462429,0.14855013180259877,0.1612151635913972,0.16435470370688138,0.1648838188364609,0.18177814530546227,0.19533770703533146,0.5285502270289351,0.7186827702343995,0.6285454849955938,0.20872622191807477,0.4203578360490364,0.5631786202382214,0.1639068777832576,0.1968867749703641,0.889189297854951,0.7897360313631329,0.38226460832625314,0.3101802580936088,0.3009756420444213,0.08627775475859574,0.172345622809827,0.22402441678193277,0.2683920554442744,0.3264923680680142,0.3647831123985032,0.5357007645741695,0.21288521088465762,0.19149323519368142,0.17096509069275026,0.14730125509306388,0.20561127473541785,0.9006704888402388,0.5479775159828513,0.044516137282963913,0.051300799784614014,0.4910096906542976,0.15993503825301067,0.16767662255034538,0.17101116139029995,0.166649421817593,0.1685773976227493,0.0394222419830078,0.07441566740619293,0.08336559359745094,0.1188627453556191,0.17764645524203945,0.17711373992799626,0.19196561998028958,0.16049992900904222,0.1631993447419303,0.14909320420715966,0.6990295184746345,0.25849060754568476,0.03729871992864163,0.08258126214846687,0.0977482884487962
Ashland-Lake,0.06953763538295225,0.20935420587277445,0.2666875528688361,1.0,0.7331089123783444,0.7727999507813631,0.7952982492683065,0.6549068659895065,0.49264123634076606,0.3550360769458065,0.20762445572128588,0.6528644374480045,0.2563129316719703,0.24650418012074957,0.35964684576770817,0.3811428442285878,0.26038619673155367,0.28222233298595356,0.6338033450036332,0.6174000748950451,0.6172201166886686,0.5939632118212047,0.1616677363990566,0.07984401166870313,0.10185014648065736,0.26880509853967827,0.3683113889613823,0.5011191119594847,0.15121745415520135,0.15764993238283898,0.16932105670533723,0.17291843616988178,0.2494055360308676,0.5606379923684346,0.037646629299716176,0.4011193252709273,0.6237616575576816,0.1479232342581453,0.05723543749041175,0.10995605496392262,0.6165823473448402,0.13134051638117344,0.4490637380121996,0.3607862031440906,0.08639690586402521,0.1669595222604191,0.17657577451860842,0.4259014984568375,0.5075492675608364,0.0644429072789153,0.06809680244877832,0.07536199832725997,0.6289105675448915,0.27795416081785956,0.30475828999125787,0.2582864759575687,0.3834243163991775,0.6253864937810238,0.6546867543170097,0.23276209290546412,0.22833893619320655,0.23953246385048413,0.31790277527945443,0.834538452392554,0.8340813490186093,0.7333449709748864,0.2528740418139767,0.3713911502836867,0.6081590094536141,0.4089426392870661,0.13604052688230595,0.2237413622370171,0.15741827046171472,0.2434347554358708,0.4684288702766196,0.5092650468122968,0.6357922137608972,0.5944769499933259,0.5727464531342292,0.45612767089550943,0.4158826544961889,0.3793315346575091,0.3287359491228497,0.8329532993469486,0.07995286489216989,0.4821839441524373,0.6043061696246693,0.5984781221755245,0.6119015448249852,0.5849517401374612,0.25262236832090634,0.4735511782128521,0.21179593573606914,0.17603212763876497,0.2064671009695825,0.5983607737680801,0.15524822290482893,0.6127831620167832,0.09345191519699335,0.23715913246868575,0.3376808561904362,0.6966763115238698,0.566856991505258,0.2986294776499246,0.2012252059811496,0.260092901129038,0.39260693086877185,0.7952962362433609,0.5397903180320905,0.4967040875229427,0.29020785095466195,0.7651664181988593,0.6987775467666755,0.629331810898145,0.27056916958623434,0.5651082937383405,0.29607289723546115,0.4864772885670982,0.052000375816483424,0.06124020627297889,0.5427401862503236,0.3201119185426212,0.35424028272917146,0.6410592001685405,0.6194801914622206,0.5857340672023281,0.04448647485536776,0.09521043613534634,0.1160137579975553,0.19732012966124782,0.6630130359619424,0.6634622470704485,0.38062475571022586,0.5989135899925108,0.6069387073777928,0.05663833972909678,0.1864742890123937,0.7425160664131015,0.06465989853400624,0.16789205905262158,0.21284200355819266
Clinton-Lake,0.05427881703941911,0.15351029480975462,0.195563791664936,0.7331089123783444,1.0,0.8910235465724908,0.788058581900428,0.5532035478374154,0.4046101431471154,0.2932851342832827,0.1701231543439385,0.821820451443492,0.23501611427175448,0.21907856395608977,0.33616737037700106,0.3599029712571872,0.2449450908464201,0.26706243508933086,0.8258391980375778,0.8421533784610818,0.8413953106106634,0.7703564116575273,0.1314801192169706,0.08301032061153492,0.10633437819097105,0.28642023760733604,0.4026499007854341,0.575569312734147,0.1662624776938462,0.170099491280961,0.1720499488074886,0.16831560796293993,0.27438392969336933,0.7010488180041973,0.028628208107227347,0.40535351500915884,0.6559927630613925,0.14690272959868136,0.05543145915926975,0.10719329392182753,0.452028779839889,0.12935813620932468,0.45460476058206784,0.4015147644254604,0.08362726788719163,0.1663133153829987,0.1758823561241549,0.43073907429424235,0.5151246117332619,0.05676277317035288,0.06576893708752207,0.07287543792017108,0.8541261879558596,0.3084713539721567,0.33848504400172674,0.21310646666416352,0.28115053957756675,0.8406113913478416,0.859108174094282,0.231721175152662,0.19859963271855438,0.20960936166922114,0.2991934865635281,0.7621684191015655,0.6504961471265522,0.5492221682600374,0.18592925346913147,0.2736746497865084,0.80142120439465,0.3337126694457366,0.1429026576096588,0.24442757964729314,0.1326674713056691,0.21266520395016686,0.441392236208525,0.5247261118723884,0.5658281218097103,0.5141431750359047,0.47532143654552117,0.3526624179178653,0.3180640261054464,0.2878853434454887,0.2482428575691752,0.8801302363997978,0.07013675986395931,0.5655185464122594,0.8216743868306932,0.7814463217737173,0.8220471478891699,0.664518554011825,0.22847314722098344,0.3492435266646375,0.1555544140348275,0.12919057152359284,0.1746863639981119,0.44346807375999087,0.11390179165369242,0.825450663929441,0.0740103449718668,0.17390422751622922,0.24763046711597,0.5107747574635445,0.47060393220140384,0.2481617693293295,0.21846950652275554,0.2381770864857181,0.3525509234299079,0.660805043613142,0.4340337884713358,0.3898522221802383,0.21793320419641324,0.8236128337716282,0.8453886873547679,0.8121260871789291,0.2696433924128221,0.575314511131962,0.21712003867970184,0.3566624260400711,0.05027707111822404,0.05923729312034445,0.39789199635614,0.32155486504130604,0.3574839533358486,0.8744280934687951,0.820696392296617,0.7214351721541922,0.04283158039937275,0.09218980723347427,0.11376602326619137,0.19651381765434522,0.8956718741904859,0.8962840827440532,0.36948503749007994,0.8036712421391065,0.8068656430360576,0.043775287292029015,0.13673031012300937,0.6560633603611757,0.06701863601023471,0.17552380952836366,0.22422555479512668
Grand/Milwaukee,0.06057376622662202,0.16471470315042128,0.20985630499042224,0.7727999507813631,0.8910235465724908,1.0,0.8834557818793467,0.6196233304006837,0.45313194940045465,0.3288608832801101,0.19076780989016476,0.8433130891164226,0.26264727287425554,0.24547075051549605,0.37529350229728536,0.40142178239815357,0.2729298663918707,0.2974119351099353,0.7358729294726084,0.7714875872035463,0.7668995649830183,0.6865493534283136,0.14738765641680035,0.0753358659676278,0.0964545938110923,0.2594262916507319,0.36364698942054297,0.5172588419513756,0.14954590480543434,0.15347695184282237,0.15711630985921582,0.1553113753555291,0.2470660499705527,0.6250047391030469,0.03174648212430654,0.44741003880141217,0.724906092003027,0.1619760967755103,0.06133413089330967,0.11855234644450993,0.48147463102573146,0.1428312423141204,0.502223848587143,0.36148764055066596,0.09257961540558078,0.18331624358248658,0.19389331025825216,0.4756503893034041,0.5698434007109597,0.06358502265704498,0.0728198294977689,0.08067867099959217,0.7711760034231548,0.27748607503019185,0.30456322059414553,0.23901867839174185,0.3013040532760224,0.75329341556265,0.7655279032833183,0.25569617959553154,0.22276583252931847,0.23506091842936722,0.33357529359402693,0.7468862369117238,0.6609245274611557,0.5677665076364456,0.1963789297714877,0.2877256732972488,0.7150316466926865,0.37376521935463414,0.1295329216713992,0.2202682180154956,0.12821531085927623,0.20303273056854038,0.41371267020415264,0.48160922895338526,0.5432910078593931,0.497083012158239,0.46591655311169333,0.35627635880528347,0.32334320301522446,0.29412313932323975,0.25450776856698004,0.8974056766435886,0.0785947803334648,0.5065189692358344,0.744813052220807,0.7743997538215591,0.7856937061088428,0.7167251646665919,0.2556622853860886,0.36656528298688273,0.16476850591724526,0.13718491640547295,0.16867793814474874,0.46244614881493085,0.12110735840666209,0.7411220417521002,0.08277116313290254,0.18660748301264354,0.2656341501872104,0.5429752856379543,0.5271042714212284,0.27839224702388726,0.19702157509865414,0.22395411710749183,0.3344970632108668,0.6556853289015883,0.4305701568291974,0.3908598736541193,0.22441551207159624,0.7712064922451223,0.762867668027849,0.7236500151397285,0.2976621287206776,0.6374971591898848,0.23299078270491336,0.38134455724702776,0.05564328619527458,0.06556361766657523,0.4247898097300542,0.35472483104565583,0.394264925893068,0.7988686992253631,0.7325825026255793,0.7486444905447511,0.04743307697939567,0.10206448399354918,0.12569355441410882,0.21671152429777663,0.8422694155701042,0.8027776054788949,0.41053847514266545,0.7207474363714108,0.7210868459550477,0.048756858143721056,0.14670572649120436,0.7351814061493229,0.06084559569699818,0.1593235690093619,0.2033588976024077
Chicago/Milwaukee,0.06849258208647549,0.1800384449453569,0.2292434355705585,0.7952982492683065,0.788058581900428,0.8834557818793467,1.0,0.7013512774894677,0.5129027128977671,0.3721427251113356,0.2158673615679778,0.7883963424268219,0.2928404182517934,0.2753352738642621,0.4171578778863363,0.44522962714604186,0.30251280721588863,0.3292407540040329,0.6509602415255322,0.6851638724280524,0.6801048964695157,0.607115155389786,0.1668071070619782,0.06873264928279181,0.08792187016294895,0.23563538683376936,0.3287542797708428,0.4640421454532715,0.13473671298816964,0.13886113627262092,0.1443116372946514,0.1444224434905582,0.2227707185525955,0.5542749501152557,0.0357625865375773,0.4863388162668164,0.7774370181917716,0.17664497887057098,0.06732710865715175,0.1299587381763187,0.5183143576776755,0.15613560797300044,0.5459398559195839,0.32555867741623296,0.10166958884771382,0.19975970774735746,0.21130533691291245,0.5170604173086784,0.6194762188418007,0.07131740305847473,0.08000439998633581,0.08861477046738189,0.6821626562404648,0.2498159520198837,0.27422617772455915,0.2704195487191912,0.3281776552766193,0.6655776226556572,0.67713708377265,0.2788365829872873,0.25068842498752814,0.2643103604289874,0.3699484945152781,0.7138119281111783,0.6645331346003575,0.5876778975242654,0.21114218445203428,0.307238766709459,0.6318402128954976,0.4230708745111437,0.11792513941040791,0.19885895866840603,0.1256528753697913,0.1959530671887886,0.3891018223078689,0.44225024864458123,0.5206472347472187,0.4810339462649425,0.4581687658343361,0.3636770486731459,0.33269975892585235,0.30455417279807506,0.26483703951823095,0.8375147987609274,0.08822527562608443,0.4526057985320633,0.6597426455277934,0.7164912835833388,0.7096571241001007,0.7355089035918788,0.2858528287772828,0.3898530173042001,0.17778326967392183,0.14846782955692683,0.16497565416603568,0.48649736546794126,0.1312748229293602,0.6550107734160254,0.09366855876886755,0.2039126848007659,0.28980248800004854,0.5815073485270317,0.5966351395846786,0.31488961617923095,0.1780779887250783,0.21244794603608022,0.3194989159448294,0.643223410824546,0.4295990498435583,0.395157458634182,0.23481089608465786,0.7074864104191497,0.682838195895061,0.6406181165749554,0.3246042727379923,0.6930691777232716,0.25442431291569007,0.41359320303507996,0.06110517624958911,0.07199712637876438,0.4593930146396832,0.3860245417959133,0.428540361050766,0.7082365027409491,0.647283264407384,0.725696301160998,0.052144634471164936,0.11208411994641006,0.13756038718680055,0.23622404276960063,0.7506127568824186,0.7092262453083868,0.45191506216468985,0.6369286789372139,0.6370508597464487,0.055075507018336085,0.16039162745969426,0.8321649055721486,0.055549281823612386,0.1452551883037374,0.18511995596912292
Damen/Milwaukee,0.097399027689775,0.22711998439915854,0.28707534529382717,0.6549068659895065,0.5532035478374154,0.6196233304006837,0.7013512774894677,1.0,0.7313007180817965,0.5294384392506121,0.3071830837234482,0.5744905982177839,0.38981726573377135,0.37639577584920775,0.5401147998276958,0.5677360155107041,0.3926111079668266,0.4238344083761501,0.4574441284481554,0.4826971431936424,0.47851886883726313,0.42651253840130926,0.23758850801822798,0.0523899152869249,0.0667831321421282,0.1760749245070845,0.24207123374876427,0.33468710823586023,0.09920658803591048,0.10327519612731646,0.11131701756989185,0.11485649690635498,0.16379750989921463,0.391240400155907,0.05029108114304063,0.5616099113486783,0.7057117068117812,0.21869649218997148,0.0861652636247962,0.1645928004097485,0.5776471885610502,0.1953323240700113,0.6168077482481371,0.23784167150268565,0.12989753046198357,0.24598092503582306,0.2599282905192735,0.5909249256994674,0.6741982214961846,0.0982398992110895,0.10256683304256659,0.11341438310805808,0.47886310196418236,0.18287037191788377,0.2006187692067108,0.38440896451132855,0.4012221063168594,0.4668159931467373,0.4757199240099167,0.34079239504529846,0.3479129970686375,0.365367840140603,0.4774286182470404,0.5483140754335114,0.5687512009539755,0.5596371336370795,0.2510180569407453,0.3515480621704506,0.44336276837574345,0.6031923079637899,0.08913703528161712,0.1467747875759529,0.11486059653455204,0.1703363328705207,0.3101387593582896,0.33359397542032315,0.4226634258231278,0.40201644075273335,0.39931408004540797,0.3573457659904915,0.33683017276792027,0.31603564746229723,0.28108827342961,0.6027830172366976,0.12182474518807918,0.32423732141494627,0.4637632268353588,0.5250624451329217,0.5075752905200095,0.624978131303336,0.3852446180782467,0.43246860498792555,0.21478722902703712,0.18179528083928487,0.14916071694616714,0.5063106001664567,0.1618873984964372,0.4594966327476966,0.13350178416820196,0.25635974236803843,0.3585067669986571,0.6184167757137331,0.850665460349526,0.4469587573403112,0.13190307376261265,0.17639210537459885,0.2662503813799581,0.528707165807608,0.39073144129289544,0.3752452055056294,0.2548218553084654,0.5166242365934264,0.4861225556937708,0.4506384701075284,0.3939980292410696,0.7146649099991201,0.3172566277483204,0.4893985300065658,0.0783551153384973,0.09221802764972667,0.5312953586177916,0.459562827440433,0.5028883875623718,0.498008208527143,0.4541157664734437,0.5625698441095108,0.06715926469448258,0.14306293980975743,0.17310648362383121,0.28991527343599693,0.5294462070201681,0.4974199412248421,0.5558476118637049,0.4467760530785769,0.44682641972051385,0.07808783585238432,0.20289236660243606,0.84271439111199,0.04245263129006163,0.11001873952040539,0.13940161694025494
California/Milwaukee,0.13270866320216204,0.26553620706319325,0.32944534157225325,0.49264123634076606,0.4046101431471154,0.45313194940045465,0.5129027128977671,0.7313007180817965,1.0,0.7202693911954335,0.41896425633553636,0.42397421720677264,0.4779515701983195,0.4811189714144842,0.6091107010679504,0.6180144008535365,0.46425824509736513,0.4920445037980392,0.33470187844681026,0.35359013860770333,0.35037815716887194,0.3120574105249183,0.32451026046169695,0.04060788621441038,0.05157903193476856,0.1336939522638977,0.18170356806900054,0.2478383116870121,0.07485781053085316,0.07844128811220308,0.08663654892495241,0.09129071395910457,0.1231917932843937,0.28677967499349327,0.0676671083090793,0.5426843411538295,0.5397498560429088,0.2520875564020116,0.10483069807029556,0.19607827887207913,0.5320654959859468,0.2285878474855929,0.5668207539140372,0.17776697089881832,0.15691936419809133,0.2805577738265324,0.29539070882851903,0.5568130403290343,0.5799606220233423,0.12928759267150783,0.12476628452368858,0.1375362974751258,0.3503352044297502,0.13707582420588146,0.15024106495994752,0.5231705217115361,0.43614231453300967,0.3413959856786675,0.34803773647127145,0.37821481117633726,0.4562895123167094,0.4756290281929146,0.5479337262743792,0.4111321606601537,0.44285452224010824,0.46178354974237895,0.27369034510310747,0.36004534814966727,0.32426470335499225,0.8247707040621,0.06850840396586065,0.11072331272688649,0.10135428175668013,0.1434171406519026,0.24247250298383713,0.2525682259057332,0.3294855254211,0.31925737903551665,0.3251310628559227,0.31898123013500734,0.30945465727927807,0.2979156013575148,0.272452441951916,0.4426675143896729,0.16059800372369318,0.23938501189968953,0.33947562448763113,0.3891582656017723,0.37354596304600973,0.47969469585892444,0.4813678317953892,0.4197110380861195,0.2398502766154473,0.2070995868646372,0.12978138402472725,0.45303907907971575,0.18640915156262092,0.336078959586124,0.18242881946355105,0.2971444434146885,0.39953601989498183,0.5367096139489707,0.8596494312204104,0.6061029489462135,0.09979034194306673,0.14359505982789483,0.21499740172957077,0.40788029284602073,0.3274434750144865,0.32512392912003163,0.2535199860082004,0.38210435590697406,0.3570507443026513,0.32983267870732164,0.4280835305071767,0.5777714032162194,0.360155660321341,0.49780251064844605,0.09561401797535657,0.11220942080802422,0.5183446852061278,0.4786239691176678,0.507213897261102,0.36454503257345316,0.33211245972437164,0.42323681523520296,0.0824386356833342,0.1723603002115911,0.20453954711907107,0.32677199962633824,0.3878651326661748,0.3637647406299213,0.579186645671127,0.3267634693282662,0.32676534497161913,0.10602523944832802,0.2388178360516929,0.6163193222626085,0.03299629630648506,0.08457004957765048,0.10656678063506114
Belmont-O'Hare,0.1782520362858051,0.2695739421107132,0.3221904091306748,0.3550360769458065,0.2932851342832827,0.3288608832801101,0.3721427251113356,0.5294384392506121,0.7202693911954335,1.0,0.5800589648250625,0.31264111776249986,0.5774879520072812,0.6184190338472905,0.6150412237560443,0.5950828220588736,0.535482869213019,0.5480684628793361,0.24234967609099717,0.2583567697612973,0.255766729820676,0.22598619195157105,0.44802280880139017,0.02974545845248089,0.03769985136473366,0.09685974351017287,0.13113355697251589,0.17851051619956132,0.054147631645987813,0.05687492076267666,0.06350568976946146,0.06766577698257763,0.08898319700793576,0.2071426247568956,0.08820089381873202,0.48339092841861203,0.40626562048279113,0.29661780470347915,0.1334498300439503,0.24153237935287222,0.4102537097188605,0.2747207871778145,0.4795187492557522,0.12817570759071387,0.19718716485659746,0.32437259829334053,0.3390504943628249,0.4825418222694114,0.46581417514769835,0.17675337767800808,0.15847531687544,0.17390419905131646,0.2550998889558027,0.09891527195407526,0.10838511171040113,0.7259447672082102,0.39060133964603894,0.24809189901215317,0.25206611525000966,0.41372892080852985,0.6116223911650317,0.6292088108497659,0.5861690788512455,0.2963181229282426,0.3215966616267199,0.34164493532503637,0.25559103480530426,0.3105073899654772,0.2351478440576614,0.8638188948567651,0.04993496600446676,0.08005828439822513,0.08050977637263054,0.10979021882911526,0.17735803775274672,0.1825916314740796,0.2401469331976114,0.23446282274161045,0.24138074214230928,0.24948220510561422,0.24707765272667392,0.24276882579914122,0.2278453082455092,0.3194157313027831,0.21967839259954947,0.17244839805196097,0.247654058985484,0.2886822698984589,0.274912140040495,0.3643757326457611,0.5976010124328827,0.342211110237549,0.231573477609417,0.20598293498514728,0.10173206231744918,0.3485844613863,0.18856250533828106,0.2444443389597466,0.2479829059728017,0.29637340809169255,0.37106032995512,0.4020034028231224,0.6214949593429332,0.8408012225866937,0.07223021511453709,0.10764682835933172,0.15987214325978413,0.29572029865868144,0.24658290218405865,0.24948333303236467,0.21744260001390894,0.27525005201657804,0.25758622561426037,0.23866165624710936,0.4498312386984838,0.44679383994069966,0.34510522963097273,0.41295040372534714,0.12219615111157264,0.14275297983060614,0.4149614240711326,0.4710025033902394,0.4773764173591088,0.2658723269196615,0.24092060669169427,0.3179335242970954,0.10611073621712223,0.21558198968091555,0.2493925651896669,0.3688963575870295,0.283310551991826,0.26415323096399584,0.5446030481226163,0.23762835228262497,0.2372215113453148,0.14099938616760538,0.24589286627184057,0.446979381659869,0.02421228153712938,0.06162528920042245,0.07743720931845958
