station_id,stationame,month_beginning,avg_weekday_rides,avg_saturday_rides,avg_sunday-holiday_rides,monthtotal
40900,Howard,2020-01-01,"4,801.2","2,852","2,304.4",128557.0
41190,Jarvis,2020-01-01,"1,359.3","1,027.5",811.4,38071.0
40100,Morse,2020-01-01,"4,119.4","2,628","2,091.8",111598.0
41300,Loyola,2020-01-01,"4,869.3","3,517","2,590",134143.0
40760,Granville,2020-01-01,"3,533.1","1,619.8","1,392.4",91169.0
40880,Thorndale,2020-01-01,"2,743","1,191",994.8,70083.0
41380,Bryn Mawr,2020-01-01,"4,251.6","1,850","1,527.4",108573.0
40340,Berwyn,2020-01-01,"2,975","2,298.3","1,736.2",83323.0
41200,Argyle,2020-01-01,"2,891.6","2,090.8","1,640.4",80180.0
40770,Lawrence,2020-01-01,"2,736.3","1,817.8","1,761.4",76276.0
40540,Wilson,2020-01-01,"6,236.3","3,503.5","2,667",164547.0
40080,Sheridan,2020-01-01,"4,632","2,519.8","1,913.2",121548.0
41420,Addison-North Main,2020-01-01,"5,971.3","3,502.3","3,056",160657.0
41320,Belmont-North Main,2020-01-01,"10,974.7","6,920.5","5,754.6",297899.0
41220,Fullerton,2020-01-01,"12,980.3","6,048","5,000.8",334762.0
40650,North/Clybourn,2020-01-01,"5,199.2","3,875.8","3,172.8",145750.0
40630,Clark/Division,2020-01-01,"7,083.2","4,575","3,616.8",192215.0
41450,Chicago/State,2020-01-01,"12,422.9","8,052.3","6,455.6",337791.0
40330,Grand/State,2020-01-01,"9,774.5","7,363.8","6,404.8",276517.0
41660,Lake/State,2020-01-01,"19,489","9,012.8","6,515.4",497387.0
41090,Monroe/State,2020-01-01,"9,214.8","2,862.8","1,995.2",224152.0
40560,Jackson/State,2020-01-01,"8,977.9","2,610.5","1,748.2",216696.0
41490,Harrison,2020-01-01,"3,162.7","1,931.3","1,524.2",84926.0
41400,Roosevelt,2020-01-01,"9,408.3","6,195.8","4,588.6",254709.0
41000,Cermak-Chinatown,2020-01-01,"3,398.8","3,200.8","2,512.8",100141.0
40190,Sox-35th-Dan Ryan,2020-01-01,"3,583.3","1,810.5","1,566",93905.0
41230,47th-Dan Ryan,2020-01-01,"2,445.1","1,593.5","1,283.8",66586.0
41170,Garfield-Dan Ryan,2020-01-01,"2,642.9","1,832.8","1,310.4",72027.0
40910,63rd-Dan Ryan,2020-01-01,"2,672.7","1,828.8","1,485.6",73542.0
40990,69th,2020-01-01,"3,971.5","2,604.8","2,058.6",108085.0
40240,79th,2020-01-01,"5,624.7","3,564.8","2,946.4",152734.0
41430,87th,2020-01-01,"3,346.7","2,026.5","1,641.6",89942.0
40450,95th/Dan Ryan,2020-01-01,"8,384.1","4,478.3","3,673.6",220731.0
41050,Linden,2020-01-01,835.2,296.3,228.6,20703.0
41250,Central-Evanston,2020-01-01,728.5,313,256,18559.0
40400,Noyes,2020-01-01,901,435.8,301.6,23072.0
40520,Foster,2020-01-01,739.9,406.8,285,19330.0
40050,Davis,2020-01-01,"3,338.6","1,982.8","1,442.8",88595.0
40690,Dempster,2020-01-01,727.8,494.5,397,19974.0
40270,Main,2020-01-01,"1,061.2",612.5,439,27992.0
40840,South Boulevard,2020-01-01,755,346,255.2,19271.0
40140,Dempster-Skokie,2020-01-01,"1,574",579.3,403,38961.0
41680,Oakton-Skokie,2020-01-01,870.9,241.5,188.6,21068.0
40890,O'Hare Airport,2020-01-01,"9,029.6","7,195.5","8,218.4",268526.0
40820,Rosemont,2020-01-01,"5,401.7","2,393.3","1,848.6",137653.0
40230,Cumberland,2020-01-01,"3,867.9","1,070.8",897.4,93864.0
40750,Harlem-O'Hare,2020-01-01,"2,616.8",915.5,703.4,64749.0
41280,Jefferson Park,2020-01-01,"6,093.5","2,709.8","2,210",155947.0
41330,Montrose-O'Hare,2020-01-01,"2,373.3",960,755.8,59831.0
40550,Irving Park-O'Hare,2020-01-01,"3,947.1","1,816.8","1,437.8",101293.0
41240,Addison-O'Hare,2020-01-01,"2,799.4",915.3,707.8,68787.0
40060,Belmont-O'Hare,2020-01-01,"4,717.6","2,153.5","1,709.2",120947.0
41020,Logan Square,2020-01-01,"6,946.6","3,106.8","2,311.4",176809.0
40570,California/Milwaukee,2020-01-01,"5,504","2,246.5","1,814",139143.0
40670,Western/Milwaukee,2020-01-01,"5,462.1","1,922.8","1,583.6",135775.0
40590,Damen/Milwaukee,2020-01-01,"5,980","3,053.5","2,556",156555.0
40320,Division/Milwaukee,2020-01-01,"5,511.3","2,214.8","1,750.4",138860.0
41410,Chicago/Milwaukee,2020-01-01,"3,650","1,160.3",894.6,89413.0
40490,Grand/Milwaukee,2020-01-01,"2,587.1",976.5,959.6,65620.0
40370,Washington/Dearborn,2020-01-01,"13,078.8","4,594","3,523.8",323728.0
40790,Monroe/Dearborn,2020-01-01,"7,790","1,439.5","1,090.8",182591.0
40070,Jackson/Dearborn,2020-01-01,"6,624.1","1,882","1,358.2",160050.0
41340,LaSalle,2020-01-01,"2,689.5",776.5,620.4,65377.0
40430,Clinton-Forest Park,2020-01-01,"3,614.8",951.5,807.8,87370.0
40350,UIC-Halsted,2020-01-01,"5,931.8","1,510.5","1,125.2",142167.0
40470,Racine,2020-01-01,"2,081.2",674,554.8,51256.0
40810,Medical Center,2020-01-01,"2,663",815,578.2,64736.0
40220,Western-Forest Park,2020-01-01,"1,511.3",711.5,558.8,38888.0
40250,Kedzie-Homan-Forest Park,2020-01-01,"1,732","1,058.5",880.6,46740.0
40920,Pulaski-Forest Park,2020-01-01,"1,625.9","1,161","1,023",45528.0
40970,Cicero-Forest Park,2020-01-01,"1,150.4",688.3,526.4,30694.0
40010,Austin-Forest Park,2020-01-01,"1,652.5",580.8,453.2,40945.0
40180,Oak Park-Forest Park,2020-01-01,"1,634.5",406,322.2,39194.0
40980,Harlem-Forest Park,2020-01-01,"1,019.1",397.8,289,25457.0
40390,Forest Park,2020-01-01,"2,823",999.8,825.6,70232.0
41030,Polk,2020-01-01,"3,164.1",568.8,423.4,74002.0
40830,18th,2020-01-01,"1,653.3",928,638.6,43277.0
40210,Damen-Cermak,2020-01-01,"1,445.9",648.8,488.4,36847.0
40740,Western-Cermak,2020-01-01,"1,032.5",517.8,402,26797.0
40440,California-Cermak,2020-01-01,"1,311.4",588.8,469.8,33555.0
41040,Kedzie-Cermak,2020-01-01,890.4,471,370,23322.0
40780,Central Park,2020-01-01,"1,066.5",497.3,396.6,27434.0
40150,Pulaski-Cermak,2020-01-01,980.9,553.8,444.4,26017.0
40600,Kostner,2020-01-01,422.3,206.3,181.6,11024.0
40420,Cicero-Cermak,2020-01-01,"1,038.8",597.3,461.6,27551.0
40580,54th/Cermak,2020-01-01,"1,921.9",849,596.4,48660.0
40020,Harlem-Lake,2020-01-01,"3,390.2","1,589.8","1,151.6",86701.0
41350,Oak Park-Lake,2020-01-01,"1,426",540.5,349.2,35280.0
40610,Ridgeland,2020-01-01,"1,279.5",370.8,232.6,30796.0
41260,Austin-Lake,2020-01-01,"1,640.3",717,553.4,41722.0
40280,Central-Lake,2020-01-01,"1,808",975.8,771,47534.0
40700,Laramie,2020-01-01,976.3,530.8,397.2,25587.0
40480,Cicero-Lake,2020-01-01,"1,118.9",645.8,501.6,29706.0
40030,Pulaski-Lake,2020-01-01,"1,230.6",726.5,559.4,32776.0
41670,Conservatory,2020-01-01,867.1,579.8,479.2,23791.0
41070,Kedzie-Lake,2020-01-01,"1,307.7",614.8,484.8,33652.0
41360,California-Lake,2020-01-01,937,399.3,313.8,23779.0
40170,Ashland-Lake,2020-01-01,"2,469.2","1,080.5",649.4,61892.0
41510,Morgan-Lake,2020-01-01,"3,660.1","1,808.5","1,301",94261.0
41160,Clinton-Lake,2020-01-01,"4,573","1,021.5",681.2,108097.0
41690,Cermak-McCormick Place,2020-01-01,"1,484",931,493,38838.0
41120,35-Bronzeville-IIT,2020-01-01,"1,456",581.5,431.8,36516.0
40300,Indiana,2020-01-01,686.7,274.8,219,17302.0
41270,43rd,2020-01-01,889.9,369.3,280,22454.0
41080,47th-South Elevated,2020-01-01,902.9,452.8,336.8,23359.0
40130,51st,2020-01-01,819.9,398,320,21230.0
40510,Garfield-South Elevated,2020-01-01,954.4,429.5,356.2,24496.0
41140,King Drive,2020-01-01,387.3,209,172.2,10218.0
40720,East 63rd-Cottage Grove,2020-01-01,874.4,431.8,349.8,22713.0
40940,Halsted/63rd,2020-01-01,459.2,207.5,146.8,11666.0
40290,Ashland/63rd,2020-01-01,872.4,402.5,334.8,22477.0
41290,Kimball,2020-01-01,"3,733.3","2,032.3","1,433.4",97428.0
41180,Kedzie-Brown,2020-01-01,"1,850.6","1,095.3",814.2,49166.0
40870,Francisco,2020-01-01,"1,591.1",661.5,446.2,39881.0
41010,Rockwell,2020-01-01,"1,792",650.5,455.8,44304.0
41480,Western-Brown,2020-01-01,"3,830","2,078.8","1,423.2",99691.0
40090,Damen-Brown,2020-01-01,"2,752.3","1,216",787.2,69350.0
41500,Montrose-Brown,2020-01-01,"2,619.5","1,203.3",849,66687.0
41460,Irving Park-Brown,2020-01-01,"3,099.5","1,310.3",903.4,77948.0
41440,Addison-Brown,2020-01-01,"2,487.5",942.3,651,61749.0
41310,Paulina,2020-01-01,"2,779.1","1,306",903.6,70882.0
40360,Southport,2020-01-01,"3,450.8","1,853.5","1,304.6",89854.0
