Geography,Geographic Area Name,Estimate!!Median value (dollars),Margin of Error!!Median value (dollars)
1500000US170310101001,Block Group 1; Census Tract 101; Cook County; Illinois,367800,110762
1500000US170310101002,Block Group 2; Census Tract 101; Cook County; Illinois,540700,469886
1500000US170310101003,Block Group 3; Census Tract 101; Cook County; Illinois,267000,44431
1500000US170310102011,Block Group 1; Census Tract 102.01; Cook County; Illinois,221500,108068
1500000US170310102012,Block Group 2; Census Tract 102.01; Cook County; Illinois,291000,192628
1500000US170310102013,Block Group 3; Census Tract 102.01; Cook County; Illinois,275000,191573
1500000US170310102014,Block Group 4; Census Tract 102.01; Cook County; Illinois,-,**
1500000US170310102021,Block Group 1; Census Tract 102.02; Cook County; Illinois,229900,70557
1500000US170310102022,Block Group 2; Census Tract 102.02; Cook County; Illinois,235300,83146
1500000US170310103001,Block Group 1; Census Tract 103; Cook County; Illinois,-,**
1500000US170310103002,Block Group 2; Census Tract 103; Cook County; Illinois,257000,80001
1500000US170310103003,Block Group 3; Census Tract 103; Cook County; Illinois,442900,213245
1500000US170310103004,Block Group 4; Census Tract 103; Cook County; Illinois,306000,131039
1500000US170310104001,Block Group 1; Census Tract 104; Cook County; Illinois,255700,184709
1500000US170310104002,Block Group 2; Census Tract 104; Cook County; Illinois,202100,49291
1500000US170310104003,Block Group 3; Census Tract 104; Cook County; Illinois,509400,267993
1500000US170310105011,Block Group 1; Census Tract 105.01; Cook County; Illinois,176700,94643
1500000US170310105012,Block Group 2; Census Tract 105.01; Cook County; Illinois,151600,23682
1500000US170310105013,Block Group 3; Census Tract 105.01; Cook County; Illinois,428900,108865
1500000US170310105021,Block Group 1; Census Tract 105.02; Cook County; Illinois,250000,39370
1500000US170310105022,Block Group 2; Census Tract 105.02; Cook County; Illinois,318900,86765
1500000US170310105031,Block Group 1; Census Tract 105.03; Cook County; Illinois,555900,112618
1500000US170310105032,Block Group 2; Census Tract 105.03; Cook County; Illinois,-,**
1500000US170310106001,Block Group 1; Census Tract 106; Cook County; Illinois,301100,215931
1500000US170310106002,Block Group 2; Census Tract 106; Cook County; Illinois,543200,237831
1500000US170310106003,Block Group 3; Census Tract 106; Cook County; Illinois,246800,104182
1500000US170310106004,Block Group 4; Census Tract 106; Cook County; Illinois,161600,43025
1500000US170310107011,Block Group 1; Census Tract 107.01; Cook County; Illinois,357700,215750
1500000US170310107012,Block Group 2; Census Tract 107.01; Cook County; Illinois,344000,28801
1500000US170310107021,Block Group 1; Census Tract 107.02; Cook County; Illinois,239000,52147
1500000US170310107022,Block Group 2; Census Tract 107.02; Cook County; Illinois,-,**
1500000US170310107023,Block Group 3; Census Tract 107.02; Cook County; Illinois,212500,76748
1500000US170310107024,Block Group 4; Census Tract 107.02; Cook County; Illinois,161600,6874
1500000US170310201001,Block Group 1; Census Tract 201; Cook County; Illinois,276800,74601
1500000US170310201002,Block Group 2; Census Tract 201; Cook County; Illinois,243400,33277
1500000US170310202001,Block Group 1; Census Tract 202; Cook County; Illinois,437800,60549
1500000US170310202002,Block Group 2; Census Tract 202; Cook County; Illinois,574200,369628
1500000US170310202003,Block Group 3; Census Tract 202; Cook County; Illinois,389100,64904
1500000US170310202004,Block Group 4; Census Tract 202; Cook County; Illinois,352200,40549
1500000US170310203011,Block Group 1; Census Tract 203.01; Cook County; Illinois,173900,23050
1500000US170310203012,Block Group 2; Census Tract 203.01; Cook County; Illinois,227800,35449
1500000US170310203013,Block Group 3; Census Tract 203.01; Cook County; Illinois,761600,135682
1500000US170310203021,Block Group 1; Census Tract 203.02; Cook County; Illinois,290400,79318
1500000US170310203022,Block Group 2; Census Tract 203.02; Cook County; Illinois,458200,193045
1500000US170310203023,Block Group 3; Census Tract 203.02; Cook County; Illinois,275500,30850
1500000US170310204001,Block Group 1; Census Tract 204; Cook County; Illinois,440800,65033
1500000US170310204002,Block Group 2; Census Tract 204; Cook County; Illinois,382200,73676
1500000US170310204003,Block Group 3; Census Tract 204; Cook County; Illinois,269600,77703
1500000US170310205001,Block Group 1; Census Tract 205; Cook County; Illinois,158100,130000
1500000US170310205002,Block Group 2; Census Tract 205; Cook County; Illinois,312500,253161
1500000US170310205003,Block Group 3; Census Tract 205; Cook County; Illinois,176700,32936
1500000US170310205004,Block Group 4; Census Tract 205; Cook County; Illinois,-,**
1500000US170310206011,Block Group 1; Census Tract 206.01; Cook County; Illinois,505900,135623
1500000US170310206012,Block Group 2; Census Tract 206.01; Cook County; Illinois,-,**
1500000US170310206013,Block Group 3; Census Tract 206.01; Cook County; Illinois,203900,46821
1500000US170310206021,Block Group 1; Census Tract 206.02; Cook County; Illinois,302100,187452
1500000US170310206022,Block Group 2; Census Tract 206.02; Cook County; Illinois,412700,170782
1500000US170310206023,Block Group 3; Census Tract 206.02; Cook County; Illinois,420000,109015
1500000US170310206024,Block Group 4; Census Tract 206.02; Cook County; Illinois,564900,119058
1500000US170310207011,Block Group 1; Census Tract 207.01; Cook County; Illinois,492200,80522
1500000US170310207012,Block Group 2; Census Tract 207.01; Cook County; Illinois,419200,67158
1500000US170310207021,Block Group 1; Census Tract 207.02; Cook County; Illinois,118100,66028
1500000US170310207022,Block Group 2; Census Tract 207.02; Cook County; Illinois,321400,150502
1500000US170310207023,Block Group 3; Census Tract 207.02; Cook County; Illinois,253300,196844
1500000US170310207024,Block Group 4; Census Tract 207.02; Cook County; Illinois,-,**
1500000US170310208011,Block Group 1; Census Tract 208.01; Cook County; Illinois,377800,242953
1500000US170310208012,Block Group 2; Census Tract 208.01; Cook County; Illinois,451800,45974
1500000US170310208013,Block Group 3; Census Tract 208.01; Cook County; Illinois,292400,202210
1500000US170310208014,Block Group 4; Census Tract 208.01; Cook County; Illinois,364300,79402
1500000US170310208021,Block Group 1; Census Tract 208.02; Cook County; Illinois,396400,75340
1500000US170310208022,Block Group 2; Census Tract 208.02; Cook County; Illinois,453000,36245
1500000US170310208023,Block Group 3; Census Tract 208.02; Cook County; Illinois,-,**
1500000US170310208024,Block Group 4; Census Tract 208.02; Cook County; Illinois,-,**
1500000US170310209011,Block Group 1; Census Tract 209.01; Cook County; Illinois,230900,71057
1500000US170310209012,Block Group 2; Census Tract 209.01; Cook County; Illinois,134100,108021
1500000US170310209013,Block Group 3; Census Tract 209.01; Cook County; Illinois,213000,193564
1500000US170310209021,Block Group 1; Census Tract 209.02; Cook County; Illinois,119000,22222
1500000US170310209022,Block Group 2; Census Tract 209.02; Cook County; Illinois,127900,49195
1500000US170310301011,Block Group 1; Census Tract 301.01; Cook County; Illinois,-,**
1500000US170310301012,Block Group 2; Census Tract 301.01; Cook County; Illinois,201200,112700
1500000US170310301013,Block Group 3; Census Tract 301.01; Cook County; Illinois,-,**
1500000US170310301014,Block Group 4; Census Tract 301.01; Cook County; Illinois,269700,17711
1500000US170310301021,Block Group 1; Census Tract 301.02; Cook County; Illinois,282300,25016
1500000US170310301022,Block Group 2; Census Tract 301.02; Cook County; Illinois,303800,201935
1500000US170310301023,Block Group 3; Census Tract 301.02; Cook County; Illinois,194300,53742
1500000US170310301031,Block Group 1; Census Tract 301.03; Cook County; Illinois,313000,148921
1500000US170310301032,Block Group 2; Census Tract 301.03; Cook County; Illinois,161200,5012
1500000US170310301041,Block Group 1; Census Tract 301.04; Cook County; Illinois,143700,16430
1500000US170310301042,Block Group 2; Census Tract 301.04; Cook County; Illinois,-,**
1500000US170310302001,Block Group 1; Census Tract 302; Cook County; Illinois,441100,147981
1500000US170310302002,Block Group 2; Census Tract 302; Cook County; Illinois,396700,166499
1500000US170310302003,Block Group 3; Census Tract 302; Cook County; Illinois,600300,185345
1500000US170310302004,Block Group 4; Census Tract 302; Cook County; Illinois,453100,115855
1500000US170310303001,Block Group 1; Census Tract 303; Cook County; Illinois,290300,289148
1500000US170310303002,Block Group 2; Census Tract 303; Cook County; Illinois,306700,249219
1500000US170310304001,Block Group 1; Census Tract 304; Cook County; Illinois,382100,93695
1500000US170310304002,Block Group 2; Census Tract 304; Cook County; Illinois,692000,283753
1500000US170310305001,Block Group 1; Census Tract 305; Cook County; Illinois,345700,215135
1500000US170310305002,Block Group 2; Census Tract 305; Cook County; Illinois,288300,132598
1500000US170310305003,Block Group 3; Census Tract 305; Cook County; Illinois,287200,114851
1500000US170310305004,Block Group 4; Census Tract 305; Cook County; Illinois,361200,28352
1500000US170310306011,Block Group 1; Census Tract 306.01; Cook County; Illinois,-,**
1500000US170310306012,Block Group 2; Census Tract 306.01; Cook County; Illinois,505800,118232
1500000US170310306013,Block Group 3; Census Tract 306.01; Cook County; Illinois,231700,24676
1500000US170310306031,Block Group 1; Census Tract 306.03; Cook County; Illinois,290400,51202
1500000US170310306032,Block Group 2; Census Tract 306.03; Cook County; Illinois,274000,95634
1500000US170310306041,Block Group 1; Census Tract 306.04; Cook County; Illinois,256300,95322
1500000US170310306042,Block Group 2; Census Tract 306.04; Cook County; Illinois,234700,31071
1500000US170310306043,Block Group 3; Census Tract 306.04; Cook County; Illinois,-,**
1500000US170310307011,Block Group 1; Census Tract 307.01; Cook County; Illinois,301500,57779
1500000US170310307021,Block Group 1; Census Tract 307.02; Cook County; Illinois,188700,49788
1500000US170310307022,Block Group 2; Census Tract 307.02; Cook County; Illinois,190800,10690
1500000US170310307031,Block Group 1; Census Tract 307.03; Cook County; Illinois,305100,33503
1500000US170310307032,Block Group 2; Census Tract 307.03; Cook County; Illinois,-,**
1500000US170310307033,Block Group 3; Census Tract 307.03; Cook County; Illinois,238200,45037
1500000US170310307061,Block Group 1; Census Tract 307.06; Cook County; Illinois,392900,251273
1500000US170310307062,Block Group 2; Census Tract 307.06; Cook County; Illinois,379900,93938
1500000US170310308001,Block Group 1; Census Tract 308; Cook County; Illinois,454900,100693
1500000US170310308002,Block Group 2; Census Tract 308; Cook County; Illinois,485600,80101
1500000US170310308003,Block Group 3; Census Tract 308; Cook County; Illinois,630400,423389
1500000US170310308004,Block Group 4; Census Tract 308; Cook County; Illinois,750000,669420
1500000US170310309001,Block Group 1; Census Tract 309; Cook County; Illinois,435500,310199
1500000US170310309002,Block Group 2; Census Tract 309; Cook County; Illinois,574100,367520
1500000US170310309003,Block Group 3; Census Tract 309; Cook County; Illinois,573500,339231
1500000US170310309004,Block Group 4; Census Tract 309; Cook County; Illinois,437100,128542
1500000US170310310001,Block Group 1; Census Tract 310; Cook County; Illinois,351900,45475
1500000US170310310002,Block Group 2; Census Tract 310; Cook County; Illinois,415300,101646
1500000US170310310003,Block Group 3; Census Tract 310; Cook County; Illinois,324200,50425
1500000US170310311001,Block Group 1; Census Tract 311; Cook County; Illinois,553400,157261
1500000US170310311002,Block Group 2; Census Tract 311; Cook County; Illinois,-,**
1500000US170310311003,Block Group 3; Census Tract 311; Cook County; Illinois,364300,62497
1500000US170310312001,Block Group 1; Census Tract 312; Cook County; Illinois,316500,44645
1500000US170310312002,Block Group 2; Census Tract 312; Cook County; Illinois,-,**
1500000US170310312003,Block Group 3; Census Tract 312; Cook County; Illinois,531300,138169
1500000US170310312004,Block Group 4; Census Tract 312; Cook County; Illinois,291500,167104
1500000US170310313001,Block Group 1; Census Tract 313; Cook County; Illinois,118800,53519
1500000US170310313002,Block Group 2; Census Tract 313; Cook County; Illinois,217100,80763
1500000US170310313003,Block Group 3; Census Tract 313; Cook County; Illinois,-,**
1500000US170310313004,Block Group 4; Census Tract 313; Cook County; Illinois,401500,88827
1500000US170310313005,Block Group 5; Census Tract 313; Cook County; Illinois,194500,59357
1500000US170310314001,Block Group 1; Census Tract 314; Cook County; Illinois,195400,63359
1500000US170310314002,Block Group 2; Census Tract 314; Cook County; Illinois,291300,18182
1500000US170310314003,Block Group 3; Census Tract 314; Cook County; Illinois,281400,80746
1500000US170310314004,Block Group 4; Census Tract 314; Cook County; Illinois,298300,128723
1500000US170310314005,Block Group 5; Census Tract 314; Cook County; Illinois,219600,81973
1500000US170310315011,Block Group 1; Census Tract 315.01; Cook County; Illinois,350700,7622
1500000US170310315012,Block Group 2; Census Tract 315.01; Cook County; Illinois,409200,77254
1500000US170310315013,Block Group 3; Census Tract 315.01; Cook County; Illinois,219600,161113
1500000US170310315021,Block Group 1; Census Tract 315.02; Cook County; Illinois,282100,21508
1500000US170310315022,Block Group 2; Census Tract 315.02; Cook County; Illinois,-,**
1500000US170310315023,Block Group 3; Census Tract 315.02; Cook County; Illinois,-,**
1500000US170310317001,Block Group 1; Census Tract 317; Cook County; Illinois,617200,198773
1500000US170310317002,Block Group 2; Census Tract 317; Cook County; Illinois,442900,22015
1500000US170310317003,Block Group 3; Census Tract 317; Cook County; Illinois,407600,48971
1500000US170310317004,Block Group 4; Census Tract 317; Cook County; Illinois,439300,79066
1500000US170310318001,Block Group 1; Census Tract 318; Cook County; Illinois,462600,61456
1500000US170310319001,Block Group 1; Census Tract 319; Cook County; Illinois,545500,252476
1500000US170310319002,Block Group 2; Census Tract 319; Cook County; Illinois,443800,31279
1500000US170310321001,Block Group 1; Census Tract 321; Cook County; Illinois,197700,104386
1500000US170310321002,Block Group 2; Census Tract 321; Cook County; Illinois,448000,4192
1500000US170310321003,Block Group 3; Census Tract 321; Cook County; Illinois,-,**
1500000US170310321004,Block Group 4; Census Tract 321; Cook County; Illinois,-,**
1500000US170310321005,Block Group 5; Census Tract 321; Cook County; Illinois,469800,98873
1500000US170310401001,Block Group 1; Census Tract 401; Cook County; Illinois,624000,110520
1500000US170310401002,Block Group 2; Census Tract 401; Cook County; Illinois,461500,59819
1500000US170310401003,Block Group 3; Census Tract 401; Cook County; Illinois,703000,87409
1500000US170310402011,Block Group 1; Census Tract 402.01; Cook County; Illinois,454700,67508
1500000US170310402012,Block Group 2; Census Tract 402.01; Cook County; Illinois,632500,240414
1500000US170310402013,Block Group 3; Census Tract 402.01; Cook County; Illinois,563300,68578
1500000US170310402014,Block Group 4; Census Tract 402.01; Cook County; Illinois,413100,114816
1500000US170310402021,Block Group 1; Census Tract 402.02; Cook County; Illinois,246000,219343
1500000US170310402022,Block Group 2; Census Tract 402.02; Cook County; Illinois,305700,82018
1500000US170310402023,Block Group 3; Census Tract 402.02; Cook County; Illinois,428600,302077
1500000US170310402024,Block Group 4; Census Tract 402.02; Cook County; Illinois,277900,71636
1500000US170310403001,Block Group 1; Census Tract 403; Cook County; Illinois,520300,120188
1500000US170310403002,Block Group 2; Census Tract 403; Cook County; Illinois,241900,163385
1500000US170310403003,Block Group 3; Census Tract 403; Cook County; Illinois,520000,138607
1500000US170310404011,Block Group 1; Census Tract 404.01; Cook County; Illinois,570300,93207
1500000US170310404012,Block Group 2; Census Tract 404.01; Cook County; Illinois,453100,214879
1500000US170310404013,Block Group 3; Census Tract 404.01; Cook County; Illinois,267900,214922
1500000US170310404014,Block Group 4; Census Tract 404.01; Cook County; Illinois,518400,207965
1500000US170310404021,Block Group 1; Census Tract 404.02; Cook County; Illinois,-,**
1500000US170310404022,Block Group 2; Census Tract 404.02; Cook County; Illinois,321000,68419
1500000US170310404023,Block Group 3; Census Tract 404.02; Cook County; Illinois,521900,248666
1500000US170310404024,Block Group 4; Census Tract 404.02; Cook County; Illinois,376500,209406
